ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,228,1357,Shamela0006945,90,376,1514,759,77
1,1357,1522,Shamela0006945,91,1,174,127,90
1,1080,1276,Shia001392Vols,341,897,1091,147,95
1,1080,1244,Shia001368,18,1340,1503,127,98
1,55,1100,JK000916,27133,366,1527,698,71
1,1100,1522,JK000916,27134,1,335,243,70
1,1080,1298,Shia003704,346,1081,1300,148,81
1,250,1230,Shamela0009429,197,539,1547,657,76
1,1230,1522,Shamela0009429,198,1,302,219,90
1,60,1225,Shamela0003118,7743,500,1525,694,69
1,1225,1522,Shamela0003118,7744,1,306,218,88
1,651,1514,Shia003675Vols,542,8,1063,557,67
1,228,756,Shamela0009229,74,1051,1542,299,62
1,756,1522,Shamela0009229,75,1,721,511,82
1,60,651,Shia003729Vols,264,1027,1512,269,50
1,651,1522,Shia003729Vols,265,1,901,558,74
1,228,343,Shamela0023789,246,1405,1527,78,77
1,343,1522,Shamela0023789,247,1,1156,810,81
1,440,867,SHAM19Y23644,2822,1255,1579,198,55
1,1019,1481,SHAM19Y23644,2823,47,373,218,58
1,723,1230,Shamela0021508,88,916,1371,295,72
1,242,1522,JK010552,902,1,1262,915,86
1,1054,1276,Shia003710,124,973,1200,160,84
1,60,892,Shamela0012848,53,781,1527,543,78
1,892,1522,Shamela0012848,54,1,655,477,90
1,60,1244,Shia003636Vols,5190,281,1487,822,79
1,1244,1522,Shia003636Vols,5191,1,304,207,84
2,4,867,Shamela0006945,91,174,1031,529,68
2,1107,1532,Shamela0006945,94,1,361,240,69
2,889,1529,JK000916,27122,695,1321,425,77
2,4,899,JK000916,27134,335,1416,579,63
2,847,1532,Shamela0009429,189,584,1126,341,61
2,1,842,Shamela0009429,198,302,1098,496,67
2,847,1333,Shamela0003118,7689,855,1355,298,70
2,4,842,Shamela0003118,7744,306,1121,568,82
2,847,1532,Shamela0009229,69,317,915,343,56
2,4,842,Shamela0009229,75,721,1476,450,61
2,1,589,Shia003729Vols,265,901,1472,347,67
2,847,1532,Shia003729Vols,268,697,1240,344,63
2,4,381,Shamela0023789,247,1156,1523,218,65
2,390,867,Shamela0023789,248,1,493,312,73
2,847,1532,Shamela0023789,250,828,1361,349,61
2,4,252,JK010552,902,1262,1499,172,84
2,269,953,JK010552,903,1,897,400,53
2,886,1532,Shamela0012848,30,110,755,425,76
2,1,842,Shamela0012848,54,655,1455,544,76
2,914,1532,Shia003636Vols,5180,508,1127,411,78
2,1,734,Shia003636Vols,5191,304,948,434,69
3,1,1307,Shamela0006945,94,361,1505,693,60
3,1313,1539,Shamela0006945,95,10,239,179,93
3,608,1533,Shamela0010283,1554,563,1508,629,77
3,1,224,JK000916,27122,1321,1534,155,82
3,244,1539,JK000916,27123,5,1301,872,77
3,1,388,Shamela0009429,189,1126,1527,247,70
3,397,1533,Shamela0009429,190,5,1068,731,73
3,631,1539,Shamela0007853,570,300,1253,647,79
3,38,224,Shamela0003118,7689,1355,1535,132,83
3,244,1539,Shamela0003118,7690,1,1198,828,75
3,631,1413,Shamela0010646,1113,700,1547,542,74
3,1417,1539,Shamela0010646,1114,1,123,98,98
3,1,746,Shamela0009229,69,915,1536,378,60
3,746,1539,Shamela0009229,70,1,667,441,63
3,281,1539,Shia003729Vols,269,1,1073,686,64
3,244,1235,Shia003729Vols,618,172,1289,164,12
3,167,1539,Shamela0023789,251,1,1260,803,67
3,1,791,Shamela0012848,30,755,1500,489,74
3,791,1539,Shamela0012848,31,1,773,518,77
3,1,431,Shia003636Vols,5180,1127,1543,268,73
3,437,1539,Shia003636Vols,5181,1,1112,750,78
4,1,1618,Shamela0006945,95,239,1595,958,69
4,43,1618,Shamela0010283,1555,1,1443,1074,80
4,1,290,JK000916,27123,1301,1551,191,81
4,290,1618,JK000916,27124,1,1222,934,85
4,6,535,Shamela0009429,190,1058,1574,381,83
4,553,1618,Shamela0009429,191,1,967,721,80
4,1,304,Shamela0007853,570,1253,1547,219,84
4,331,1618,Shamela0007853,571,7,1184,869,79
4,1,395,Shamela0003118,7690,1198,1533,253,79
4,395,1618,Shamela0003118,7691,1,1137,872,86
4,1,1618,Shamela0010646,1114,123,1613,1093,78
4,1,1265,Shamela0009229,70,667,1609,666,62
4,1265,1618,Shamela0009229,71,1,350,241,78
4,1,540,Shia003729Vols,269,1073,1582,359,74
4,540,1611,Shia003729Vols,270,1,856,557,60
4,609,966,Shia003729Vols,618,1032,1330,229,76
4,985,1489,Shia003729Vols,619,1,936,165,16
4,1,304,Shamela0023789,251,1260,1551,205,77
4,331,1618,Shamela0023789,252,7,1085,763,69
