ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,1,534,ShamAY0034303,1,1,462,233,50
1,1,538,ShamAY0034308,1,1,474,225,50
1,8,538,ShamAY0034341,1,38,447,202,46
1,1,498,ShamAY0034319,1,1,435,164,29
1,8,548,ShamAY0034340,1,1,476,207,43
1,1,534,ShamAY0034291,1,1,454,227,51
1,1,683,ShamAY0033570,1,1,550,236,40
1,1,565,ShamAY0034318,1,1,567,246,50
1,1,742,ShamAY0034285,1,1,807,257,32
1,1,534,ShamAY0033541,1,1,550,251,53
1,1,534,ShamAY0034309,1,1,430,219,48
1,1,544,ShamAY0034302,1,1,449,208,43
1,1,534,ShamAY0034307,1,1,504,237,49
1,1,534,ShamAY0034301,1,1,466,217,45
1,1,534,ShamAY0034578,1,1,382,215,47
1,1,538,ShamAY0034575,1,1,499,220,49
1,1,586,ShamAY0034299,1,1,491,250,51
1,1,538,ShamAY0033571,1,1,678,264,45
1,1,534,ShamAY0034295,1,1,642,227,38
1,1,534,ShamAY0033536,1,1,518,183,35
1,1,565,ShamAY0033535,1,1,557,268,52
1,1,581,ShamAY0034342,1,1,594,232,40
1,1,586,ShamAY0034634,1,1,553,182,27
1,1,534,ShamAY0034293,1,1,614,189,29
1,1,534,ShamAY0034316,1,1,582,207,41
1,1,489,ShamAY0033644,1,1,463,167,35
2,1194,1640,JK000914,1874,9,443,340,92
2,1194,1640,Shia003340BK2,4,982,1416,339,92
2,1194,1640,Shamela0004473,1142,277,709,340,93
3,1,109,Shamela0004473,1142,709,818,79,93
