ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
2,750,1026,Shamela0001000,891,392,662,214,94
2,750,1026,Shia003636Vols,12167,35,291,195,84
2,750,1026,Shia000018,8,1056,1331,219,97
2,750,1026,Shia002958,469,374,650,226,99
2,750,1026,Shia000045,10,969,1238,214,94
2,750,1036,Shia002964Vols,896,685,958,219,93
2,750,1036,Sham19Y0020937,5,1193,1458,208,88
2,798,1026,Zaydiyya0000142,1345,1,222,174,93
2,438,634,Shia001337Vols,706,564,1158,142,30
2,750,888,Shia004456Vols,1339,259,397,114,99
2,750,1026,Shia003689,6,174,448,200,85
2,733,881,JK006900,1547,1474,1608,111,89
2,707,1026,Shamela0012398,930,987,1321,219,79
2,750,888,Shia002955Vols,201,1170,1308,114,99
4,1029,1282,Shia000018,9,1,254,211,100
4,942,1287,Shia002964Vols,324,57,418,272,89
4,945,1282,Shia000017,16,16,462,247,66
4,949,1287,Shia001255Vols,713,1053,1391,268,94
5,633,852,Shia000297,477,82,287,155,86
5,616,807,Shia002746Vols,253,1338,1529,153,98
6,626,1119,Shia002746Vols,3,42,1299,389,38
7,204,362,Shia002964Vols,317,537,1280,113,18
8,1,210,Shia000018,7,506,693,119,70
8,1,119,Shia002934,71,1387,1505,97,100
8,1,167,Shamela0009788,1222,1149,1352,136,81
8,1,167,Shia000045,10,505,670,135,99
8,1,128,Shia002964Vols,314,1289,1416,104,100
8,1,167,Shia002992Vols,3790,597,799,136,82
8,1,167,Shia002948Vols,378,609,810,133,80
8,1,167,Zaydiyya0000142,1344,854,1169,135,52
8,1,167,Shia001337Vols,710,255,458,136,81
8,1,167,Shia000032,18,1180,1383,136,81
9,1453,1582,Shia000004,36,883,1002,95,90
9,1453,1582,Shia000045,9,1493,1622,104,100
9,1453,1582,Zaydiyya0000142,1342,967,1097,104,99
10,63,557,Shia001187Vols,7901,480,929,218,49
10,606,738,Shia003996Vols,11,206,334,79,75
10,392,544,Shia000026Vols,1433,540,697,106,83
10,165,397,Shia003636Vols,12168,848,1148,166,63
10,152,834,Shia000018,7,447,1085,302,44
