ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,719,1473,Shia000026Vols,14,747,1414,471,66
2,1076,1338,Shia003636Vols,2425,639,903,130,45
2,1071,1449,Rafed0003793Vols,7,1176,1557,303,97
2,1431,1597,Rafed0003793Vols,8,1438,1600,130,95
2,1125,1392,Masaha003299,60,411,668,132,53
2,1084,1332,Shamela0001347,28,126,338,139,69
2,1125,1332,Shia000004,298,284,457,119,69
2,1091,1449,Shia003445,209,982,1219,131,41
2,1088,1332,Rafed0002654Vols,825,1279,1491,135,66
2,1091,1332,Rafed0002654Vols,7154,440,649,133,66
2,1125,1332,Rafed0002654Vols,7191,847,1019,118,69
2,1125,1332,Rafed0002654Vols,13822,269,450,128,72
2,1088,1309,Rafed0002341Vols,2746,353,1053,121,21
2,1091,1332,Shia004092Vols,7153,869,1078,133,66
2,1125,1332,Shia004092Vols,7190,1005,1177,118,69
2,1125,1332,Shia004092Vols,12760,1263,1444,128,72
3,809,1342,Shia003636Vols,12167,1091,1617,361,75
3,622,1440,Shia001156,13,703,1516,563,78
3,739,971,Rafed0003793Vols,16,1425,1659,180,91
3,971,1440,Rafed0003793Vols,17,1,467,383,99
3,764,1440,Shia001155,7,697,1364,521,90
3,739,1485,Zaydiyya0000098,389,336,1053,502,78
3,809,1367,Shia002958,460,1039,1597,403,82
3,1009,1440,Shia001255Vols,710,1,428,327,87
3,937,1389,Shia001615Vols,1050,516,903,290,76
3,764,1440,Shia002185Vols,39,893,1572,549,97
3,809,1440,Rafed0000230Vols,347,619,1261,443,78
3,764,1440,Shia002964Vols,321,71,767,545,94
3,859,1354,Shia000019Vols,14,14,502,366,84
3,809,1440,Shia002970Vols,829,162,823,466,81
3,809,1440,Zaydiyya0000142,1279,141,844,458,75
4,822,1049,Shia003636Vols,9472,669,913,167,82
4,399,613,Rafed0003793Vols,7,1493,1731,158,81
4,1049,1514,Rafed0003793Vols,8,985,1452,378,99
4,613,1049,Rafed0003793Vols,8,1,446,351,97
4,1233,1492,Shia000017,5,393,560,109,51
4,140,389,Masaha003399Vols,13,1016,1264,199,99
4,822,1042,Shia001388,166,1323,1567,167,84
4,646,822,Shia003445,208,1271,1447,143,100
4,822,1049,Shia003445,209,542,781,178,91
4,189,406,Shia003634Vols,1448,738,960,166,92
4,448,601,Sham19Y0023644,6393,1243,1399,123,91
4,393,627,JK001330,886,961,1204,169,84
5,121,1245,Shia003636Vols,9480,720,1547,630,68
5,1252,1462,Shia003636Vols,9481,991,1195,163,96
5,829,1241,Masaha003399Vols,411,578,989,328,99
5,1303,1462,Masaha003399Vols,413,1,160,128,100
5,829,1510,Shia002185Vols,33,1121,1429,216,39
5,125,767,ShamAY0037891,178,811,1454,513,97
5,238,495,Shamela0012406,3531,1,259,195,93
5,132,499,Sham19Y0023644,6394,321,690,279,94
5,132,495,Shamela0004445,5431,1140,1504,278,94
6,1,250,Shia001337Vols,712,1377,1614,181,88
6,250,725,Shia001337Vols,713,1,458,306,76
6,84,827,Shia000017,6,362,689,147,22
6,993,1414,Shia000017,8,620,1031,321,92
6,114,725,Rafed0001121,619,7,601,410,80
6,1,643,Shia002958,461,95,719,488,92
6,1,643,Shia001255Vols,709,759,1381,474,88
6,135,534,Rafed0000230Vols,345,1076,1452,246,75
6,9,643,Shia002964Vols,321,835,1484,453,79
6,1,643,Shia003764Vols,749,217,858,476,86
6,1,643,Shia000019Vols,13,136,763,454,81
6,9,643,Shia001385,24,100,714,411,76
6,993,1138,Rafed0000789,48,84,229,120,100
6,43,643,Shia002959,309,314,837,333,66
6,1,643,Shia002970Vols,829,844,1474,471,86
6,1424,1606,Shia002970Vols,830,300,572,132,59
6,230,534,Zaydiyya0000142,1353,1,281,199,78
7,495,633,Shia001337Vols,710,240,382,113,97
7,850,994,Shia001337Vols,710,886,1031,117,99
7,1,633,Shia003636Vols,12168,639,1011,224,38
7,1460,1691,Shia000147Vols,166,506,736,184,98
7,500,633,Shia000045,10,499,632,109,100
7,850,994,Rafed0001121,616,1280,1424,116,98
7,500,633,Rafed0001121,616,648,781,109,100
7,850,994,Shia004000,12,1395,1539,117,100
7,854,994,Shia000046,327,335,476,110,96
7,869,994,Shia002931,173,1,126,101,100
7,1,162,Shia002958,463,548,700,127,93
7,1460,1691,Shia000133,57,338,570,180,95
7,873,994,Rafed0000230Vols,445,633,779,94,78
7,500,999,Shia002964Vols,314,1283,1569,228,56
7,525,1691,Shia002964Vols,315,1,866,332,27
7,810,1172,Rafed0001252,18,814,1140,171,54
7,506,693,Shia000019Vols,8,1,210,119,70
7,447,1085,Shia000019Vols,10,152,834,302,44
7,850,994,Shia000026Vols,1433,552,697,117,99
7,460,633,Shamela0009788,1222,1120,1276,121,81
7,674,994,Shia002748Vols,482,118,378,142,53
7,869,994,Shia001297,22,335,470,100,91
7,447,933,Shia000043Vols,19,849,1072,154,40
7,1,162,Shia002970Vols,830,572,726,127,92
7,850,994,Shia002948Vols,378,224,368,117,100
7,474,1033,Shia002953Vols,976,667,995,213,46
7,850,994,Shia002992Vols,3789,518,662,115,98
7,495,633,Shia002992Vols,3790,582,724,113,97
7,1242,1479,Shamela0000736,4743,1130,1352,164,83
7,495,624,Shia002934,71,1372,1505,106,96
7,854,994,Shia001432Vols,35923,355,491,108,95
7,500,994,Shia001187Vols,7901,598,889,212,50
7,500,629,Zaydiyya0000142,1344,848,977,106,100
7,850,994,Shia000066Vols,503,1136,1280,117,100
8,1018,1336,Shia003636Vols,12167,1,296,207,75
8,997,1331,Shamela0012398,930,1000,1321,229,82
8,997,1186,Rafed0003793Vols,23,1507,1688,139,86
8,1,126,Shia000147Vols,166,736,861,99,100
8,997,1331,Shia000045,10,929,1238,230,83
8,312,853,Shamela0036357,1433,57,1134,403,46
8,889,1388,Shia002958,460,462,919,357,86
8,1,126,Shia000133,57,570,695,99,100
8,1,126,Shia002964Vols,315,866,988,97,97
8,1363,1529,Shia002964Vols,323,1533,1700,138,98
8,1006,1336,Shia002964Vols,896,619,958,244,86
8,421,853,Shia002964Vols,897,41,512,331,85
8,997,1331,Shamela0001000,876,1233,1563,250,90
8,1056,1331,Shia000019Vols,2,750,1026,219,97
8,564,1336,Shia000019Vols,12,1,637,331,47
8,997,1193,Shamela0009091,781,1411,1607,141,84
8,985,1336,Masaha003390Vols,5,1248,1551,223,77
8,997,1193,Shia004456Vols,1339,208,397,144,87
8,421,701,Shia004456Vols,1340,1383,1659,201,85
