ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,1,1253,Shamela0010428BK2,253,273,1525,1002,100
1,1253,1496,Shamela0010428BK2,254,1,244,193,100
1,82,1071,Hindawi047090584,230,560,1550,777,97
1,1077,1496,Hindawi047090584,231,9,428,324,96
2,1,1269,Shamela0010428BK2,254,244,1512,1018,100
2,1269,1532,Shamela0010428BK2,255,1,264,213,100
2,1,1054,Hindawi047090584,231,428,1493,841,98
2,1054,1532,Hindawi047090584,232,1,469,376,97
3,1,1381,Shamela0010428BK2,255,264,1644,1130,100
3,1381,1644,Shamela0010428BK2,256,1,264,213,100
3,1,1182,Hindawi047090584,232,469,1649,957,98
3,1182,1644,Hindawi047090584,233,1,457,363,96
4,1,1277,Shamela0010428BK2,256,264,1540,1026,100
4,1277,1518,Shamela0010428BK2,257,1,242,191,100
4,1,1077,Hindawi047090584,233,457,1535,854,98
4,1077,1518,Hindawi047090584,234,1,430,337,95
5,1,1287,Shamela0010428BK2,257,242,1528,1036,100
5,1287,1551,Shamela0010428BK2,258,1,265,214,100
5,797,1101,Zaydiyya0000106,22,1083,1346,199,79
5,517,718,Zaydiyya0000106,38,1345,1542,148,93
5,1004,1408,JK010635,122,1,341,232,70
5,1,1106,Hindawi047090584,234,430,1539,876,97
5,1106,1551,Hindawi047090584,235,1,439,343,96
5,797,1101,Zaydiyya0000288,782,339,622,163,57
6,738,1519,Sham19Y0026523,1126,716,1529,534,74
6,738,1392,Shamela0023775,41,862,1574,491,84
6,1392,1596,Shamela0023775,42,14,332,137,52
6,738,1362,Hindawi017160604,825,918,1569,470,86
6,1333,1596,Hindawi017160604,826,8,383,165,51
6,868,1231,JK000627,67,1182,1552,258,80
6,1231,1596,JK000627,68,1,405,265,77
6,858,1493,Shia000049Vols,1,1339,1623,134,23
6,1,1342,Shamela0010428BK2,258,265,1606,1091,100
6,1342,1596,Shamela0010428BK2,259,1,255,204,100
6,363,1596,Shamela0010670BK10,2,66,1332,848,77
6,363,921,Sham19Y0036540,4234,920,1535,371,73
6,927,1596,Sham19Y0036540,4235,5,709,476,76
6,363,544,Shamela0010428BK1,132,1363,1571,112,69
6,544,1596,Shamela0010428BK1,133,1,1037,739,81
6,1,1120,Hindawi047090584,235,439,1559,891,98
6,1120,1596,Hindawi047090584,236,1,476,384,99
6,363,1596,Shamela0010428BK9,2,86,1330,851,79
7,1,189,Sham19Y0026523,1120,571,755,144,93
7,6,808,Sham19Y0026523,1127,50,1018,503,60
7,1,534,JK009291,4,325,647,226,50
7,6,808,Shamela0023775,42,338,1350,508,59
7,1,808,Hindawi017160604,826,383,1370,530,63
7,1,458,JK000627,68,405,869,249,58
7,6,383,ShamAY0035859,238,450,785,220,67
7,1,189,ShamAY0035859,318,203,384,140,91
7,1,389,Shia000049Vols,2,329,740,287,85
7,1,1366,Shamela0010428BK2,259,255,1620,1115,100
7,1366,1635,Shamela0010428BK2,260,1,270,219,100
7,1,189,JK009364,2,967,1151,143,93
7,1,359,Shamela0010670BK10,2,1332,1585,199,68
7,359,808,Shamela0010670BK10,3,1,441,272,72
7,1,808,Sham19Y0036540,4235,709,1397,462,68
7,47,229,Hindawi016180462,130,1,200,135,84
7,1,682,Shamela0010428BK1,133,1037,1590,427,77
7,1,1162,Hindawi047090584,236,476,1629,934,98
7,1162,1635,Hindawi047090584,237,1,468,375,97
7,1,365,Shamela0010428BK9,2,1330,1589,204,69
7,370,808,Shamela0010428BK9,3,1,403,263,72
8,1,1372,Shamela0010428BK2,260,270,1641,1121,100
8,1372,1636,Shamela0010428BK2,261,1,265,214,100
8,1,1166,Hindawi047090584,237,468,1628,937,98
8,1166,1636,Hindawi047090584,238,1,471,380,97
9,1,1382,Shamela0010428BK2,261,265,1646,1131,100
9,1382,1623,Shamela0010428BK2,262,1,242,191,100
9,1,1177,Hindawi047090584,238,471,1641,947,98
9,1177,1623,Hindawi047090584,239,1,450,361,99
10,1,1482,Shamela0010428BK2,262,242,1723,1231,100
10,1482,1740,Shamela0010428BK2,263,1,259,208,100
10,1,1292,Hindawi047090584,239,450,1737,1065,98
10,1292,1740,Hindawi047090584,240,1,449,361,99
11,1,1258,Shamela0010428BK2,263,259,1516,1007,100
11,1258,1504,Shamela0010428BK2,264,1,247,196,100
11,1,1084,Hindawi047090584,240,449,1525,849,97
11,1084,1504,Hindawi047090584,241,1,412,313,93
11,233,402,ShamIbadiyya0000074,149,1155,1294,107,78
11,233,402,ShamIbadiyya0000074,310,202,341,107,78
