ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
1,10,782,Shamela0038011,768,1153,1432,197,31
2,270,412,Shamela0009788,1957,1183,1331,103,85
2,270,387,Sham19Y0009937,65,14,131,96,100
2,270,391,Hindawi096069181,117,459,580,97,98
2,270,387,Shamela0006744,548,1469,1586,96,100
2,1182,1584,JK009362,12,924,1294,295,90
2,1192,1584,Sham19Y0038093,64,234,632,305,92
2,261,387,Shamela0027084,417,1532,1657,99,96
2,451,844,Sham19Y0020970,1,636,839,141,44
2,270,387,Sham19Y0020970,41,290,408,96,99
2,247,387,Hindawi063908296,79,760,911,99,80
2,42,387,Shamela0001242,564,455,717,182,63
2,270,401,Sham19Y0019199,838,728,859,99,93
2,476,1584,JK001496,2,1,1110,895,98
2,1255,1584,Sham19Y0150960,1125,648,981,265,98
2,1069,1584,Sham19Y0147597,1,567,1083,416,99
2,485,687,Sham19Y0020891,20,311,520,166,96
2,687,911,Sham19Y0020891,20,1411,1639,183,98
2,1116,1281,Sham19Y0020891,25,252,422,134,97
2,917,1087,Shamela0006739,2051,569,745,131,91
2,451,1137,Hindawi079708060,110,1002,1427,332,58
2,1072,1584,Sham19Y0133368,1,572,915,276,66
2,270,387,Sham19Y0014075,725,818,934,95,99
2,1072,1584,JK000468,1279,657,1079,337,81
2,42,401,JK000468,1280,872,1149,188,62
2,270,387,Shia003764Vols,602,9,125,95,99
3,1,717,Sham19Y0038093,64,632,1323,556,95
3,1,531,JK001496,2,1110,1620,415,96
3,537,717,JK001496,3,5,186,146,98
3,1,657,Sham19Y0150960,1125,981,1608,501,93
3,1,531,Sham19Y0147597,1,1083,1608,413,92
3,181,439,Sham19Y0020891,30,909,1148,194,92
3,439,559,Sham19Y0020891,31,444,564,99,100
3,83,537,Hindawi079708060,110,1506,1630,101,27
3,1,531,Sham19Y0133368,1,915,1353,343,76
3,1,673,JK000468,1279,1079,1399,257,46
3,729,1615,JK000468,1280,1146,1517,301,41
4,323,1424,JK000468,1281,1,325,249,27
5,1293,1540,Sham19Y0017048,682,688,936,191,89
5,129,1281,JK000468,1281,305,1232,685,68
5,1287,1672,JK000468,1282,31,352,233,67
6,877,1215,Sham19Y0038093,151,677,1017,264,90
6,7,376,JK000468,1282,373,1116,270,43
6,438,706,JK000468,1284,505,866,201,64
9,1228,1581,ShamAY0034637,78,936,1260,233,73
9,1228,1586,Shamela0012398,1637,689,1187,134,33
10,91,362,Sham19Y0038093,149,1253,1528,204,88
10,371,1087,Sham19Y0038093,150,19,983,406,45
10,67,747,Shia004456Vols,420,670,1365,531,92
10,5,362,Shamela0027084,131,1138,1519,257,83
10,371,875,Shamela0027084,132,7,413,323,79
10,5,617,Shamela0006729,71,940,1681,481,80
10,617,868,Shamela0006729,72,1,193,137,67
10,67,267,Shamela0001242,363,1512,1670,120,74
10,267,1167,Shamela0001242,364,1,984,424,42
10,67,733,Sham19Y0019199,1394,573,1206,492,91
10,817,1098,JK003609,4339,306,607,114,32
10,5,747,Shamela0006739,1670,47,926,592,83
10,91,875,JK009365,34,405,1125,317,41
10,67,752,JK000468,226,140,779,478,84
11,1141,1432,JK009241,366,932,1192,127,40
11,124,1045,Kraken220413194132,6,275,777,282,36
11,1167,1364,Meshkat00042485,8,734,1228,134,30
12,969,1075,JK009313,207,88,311,81,45
12,94,552,JK009313,4083,1126,1558,300,78
12,969,1082,Sham19Y0127698,30,633,740,84,93
12,86,547,Shamela0023685,604,669,1180,340,80
12,191,393,JK007032,148,496,1078,157,33
12,94,527,Sham19Y0145212,3569,1099,1542,287,73
12,86,547,Shamela0026568,541,65,567,337,79
12,94,910,Sham19Y0020891,14,968,1585,420,59
12,969,1070,Rafed0003537Vols,41,150,267,74,75
12,969,1082,Sham19Y0014404,245,719,834,89,98
12,157,547,JK009273,511,1,387,276,83
13,188,486,ShamAY0035035,8385,490,749,196,79
13,1404,1636,Sham19Y0013783,2004,832,1131,175,70
13,1433,1636,Sham19Y0127671,1056,18,278,166,77
13,193,486,Shamela0001466,12,386,715,225,85
13,199,486,ShamIbadiyya0000050,39,528,817,182,73
13,1421,1622,Sham19Y0132962,914,220,478,164,76
13,261,486,LMN20200928,82,305,618,163,63
14,989,1199,JK007081,578,836,975,98,57
14,1081,1188,Tafsir02102,1394,1327,1595,75,35
14,551,1188,Shia002351,17,205,569,154,26
14,863,1204,Sham19Y0020891,20,86,798,257,43
15,769,1163,Shamela0021715,6746,498,772,191,54
16,777,1083,JK000876,1136,1322,1573,173,67
16,771,1083,Shia000181,366,234,400,120,45
16,161,413,Shia002351,32,1323,1578,173,81
16,413,1574,Shia002351,33,1,1154,878,89
16,505,1574,Shamela0001535,34,537,1471,617,66
16,766,1083,JK001496,1723,453,851,259,79
16,837,1083,Sham19Y0020891,4829,143,423,201,87
16,766,1079,Shamela0001466,2508,8,407,255,78
16,777,1079,Shamela0010273,2390,1171,1421,167,65
17,293,661,Sham19Y0122096,880,469,798,213,69
17,241,661,JK001295,104,280,552,215,63
17,312,661,Shamela0001417,918,523,914,145,39
19,241,673,Sham19Y0017616,74,1,300,165,42
19,183,673,Sham19Y0149697,975,973,1317,201,48
19,183,678,Shamela0012293,3098,790,1099,231,57
19,183,673,Shamela0012293,3117,723,995,208,52
19,183,446,JK008001,2543,413,628,168,79
19,143,673,Kraken220204081839,113,590,964,217,46
19,183,673,Sham19Y0018567,765,714,981,188,47
19,148,673,Sham19Y0016976,395,139,566,224,44
19,690,1612,Shia002351,34,197,1276,695,77
19,148,446,JK000240,21,164,506,182,62
19,154,673,Zaydiyya0000343,32,657,1092,232,46
19,148,446,Shamela0008363,193,1220,1511,195,71
19,183,427,JK000266,17,1356,1564,154,77
19,183,673,JK006478,230,143,437,217,54
19,148,446,JK006478,234,1165,1478,194,69
19,389,673,JK006478,324,1061,1360,108,31
19,179,673,Tafsir03029,2,382,664,182,46
19,148,673,ShamIbadiyya0000229,1297,503,952,240,46
19,148,446,ShamIbadiyya0000229,1299,23,336,194,69
19,183,446,Sham19Y0017882,85,206,417,165,77
19,148,673,Shia000107Vols,846,719,1155,227,45
19,148,673,JK000154,401,24,455,225,45
19,148,673,Sham19Y0013614,145,102,531,224,44
19,148,673,Shamela0002300,1382,868,1211,213,45
19,236,673,Shamela0002300,1572,1,244,185,52
19,183,678,Shamela0002300,1620,481,779,219,54
19,148,446,Shamela0002300,1642,1238,1547,193,68
19,148,673,Shamela0002300,1756,488,863,237,51
19,148,686,Shamela0002300,2208,506,862,222,47
19,148,673,Meshkat00057178,29,8,474,248,49
19,154,673,Tafsir09085,17,980,1446,225,44
19,183,673,JK000906,70,64,339,211,53
19,154,446,JK000906,77,1272,1584,188,65
19,183,673,Shamela0037652,1,1231,1572,216,51
20,132,333,JK007081,735,1179,1533,116,39
20,877,1624,Kraken220727035853,5373,1,947,559,68
20,671,1249,JK000440,6,511,988,324,62
20,1,351,Shia002351,34,1276,1627,276,97
20,671,1114,Rafed0003726Vols,9,1346,1682,255,68
20,677,1426,Sham19Y0150960,204,58,833,541,75
20,671,1235,JK001295,698,1134,1710,401,74
20,1235,1426,JK001295,699,1,206,157,91
