ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
3,999,1343,JK007140,12558,878,1517,271,52
3,1008,1334,Shamela0001687,9674,416,877,226,58
10,900,1328,JK007636,112,1002,1394,277,77
10,1328,1676,JK007636,113,0,363,256,87
11,388,670,JK007636,99,405,686,181,79
11,0,1431,JK007636,113,363,1344,648,56
11,1431,1586,JK007636,114,0,113,86,67
12,0,506,JK007636,114,113,560,297,73
32,667,899,Shamela0006947,7596,443,675,183,98
32,667,801,JK006476,1156,777,909,103,98
32,746,899,Sham19Y0020891,4221,917,1070,121,97
32,660,899,Shia001432Vols,540,521,758,185,97
32,667,899,Shia001432Vols,18609,666,896,183,99
32,660,899,Shamela0010523,29,549,788,185,96
32,667,855,Rafed0003537Vols,257,555,766,142,83
32,667,899,JK009396,1031,668,900,183,98
32,660,879,ShamAY0036821,1491,1287,1503,166,95
32,660,899,JK001496,1516,760,1002,183,94
32,667,899,Sham19Y0038093,220,1120,1352,183,98
32,622,845,Tafsir04056,5573,780,1344,158,35
32,667,855,Meshkat00057178,2695,0,195,144,92
32,667,885,Shia002356Vols,812,1285,1501,170,97
32,667,899,JK001414,360,30,262,183,98
32,660,899,Rafed0001713Vols,1756,57,296,185,96
32,660,899,Meshkat0014420,3369,1126,1365,185,96
32,667,899,Shamela0008473,3407,1099,1331,183,98
32,693,899,Shamela0012884,3694,0,206,163,98
32,667,817,Shamela0000432,4203,813,963,116,97
32,660,891,Masaha000554Vols,3774,712,942,174,94
32,667,879,Rafed0003793Vols,933,1338,1549,166,97
32,667,899,Sham19Y0147312,1459,41,273,183,98
32,660,899,JK001110,50,358,597,185,96
32,667,899,JK000791,1662,700,932,183,98
32,660,899,Shamela0023628,2598,780,1019,185,96
32,667,845,Rafed0003799Vols,1901,488,665,139,97
32,667,845,JK009362,5679,754,932,139,97
32,656,899,Rafed0003943Vols,1150,831,1074,185,95
32,667,899,Kraken220413194022,371,112,342,181,97
32,667,845,Shamela0004473,7360,11,189,139,97
32,660,850,Shamela0000041,1801,642,832,142,94
32,660,845,Shamela0037458,2885,790,975,141,95
32,667,845,Sham19Y0013550,408,714,892,139,97
32,660,891,Zaydiyya0000144,24,945,1181,180,95
32,667,899,Shamela0010273,2054,36,268,183,98
32,667,899,Shamela0007798,6870,944,1176,183,98
32,667,845,Rafed0003591Vols,294,1371,1549,139,97
32,667,899,Shamela0023632,2578,537,769,183,98
32,660,899,Shamela0023591,5146,964,1203,185,96
32,746,899,EShia0071807,1607,1275,1428,121,97
32,660,891,Kraken22021802055301,39,129,356,172,93
32,622,850,Sham19Y0014404,1008,337,558,149,80
32,693,899,Shamela0021821,1294,0,206,163,98
32,667,845,Shamela0000922,895,904,1082,139,97
32,667,845,Rafed0000040Vols,370,577,755,139,97
