ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
39,1332,1439,Shamela0005390,431,1400,1508,86,99
39,1332,1439,JK010743,73,740,848,86,99
39,1332,1439,JK009304,325,194,301,86,100
39,1332,1439,Shamela0010551,282,829,936,86,100
39,1332,1439,Sham19Y0016435,255,1289,1505,86,49
39,1332,1439,JK009233,129,1340,1448,83,96
39,1332,1439,JK000927,1179,1379,1486,86,100
39,1332,1439,JK001099,391,245,354,86,98
39,1332,1445,JK010748,68,391,505,84,92
39,1332,1439,Shamela0006939,126,31,138,86,100
39,1332,1439,Shamela0005421,156,218,326,86,99
39,1332,1439,JK006907,146,297,405,86,99
39,1332,1439,Hindawi092480708,124,639,746,86,100
39,1332,1439,Shamela0001000,1881,652,759,86,100
39,1332,1439,AOCP20251104090,108,464,572,86,99
39,1332,1439,JK000919BK1,158,512,619,86,98
