ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
3,795,1148,Shamela0035100,618,664,1008,183,55
3,795,1114,JK006838,1474,561,825,145,55
3,751,1060,Shamela0095735,617,784,1153,170,53
3,795,1166,Shamela0003118,15,991,1401,170,45
3,1260,1582,Shamela0003118,40,1077,1439,244,82
3,760,1060,Masaha004845BK4,2,143,497,166,53
3,1260,1455,JK005004,493,65,267,153,89
3,1260,1515,Shamela0010798,39,591,970,199,63
3,830,1133,Sham19Y0016953Vols,949,357,678,169,56
3,798,1114,JK011153,4590,636,1005,177,55
3,830,1148,Shamela0011578,14,320,686,183,55
3,795,1148,Shamela0010906,613,1049,1394,183,55
3,795,1119,ShamAY0034310,7,210,558,171,54
3,787,1114,JK000381,7953,59,417,180,57
3,798,1114,JK000154,4832,1123,1478,180,58
3,1260,1415,JK000916,181,1263,1441,123,83
3,1260,1499,JK000916,182,1073,1538,146,34
3,1180,1447,JK000583,433,273,573,170,66
3,955,1447,Zaydiyya0000153,121,18,762,231,35
3,795,1114,Shamela0001524,3238,134,717,158,30
4,129,652,Shamela0035100,618,599,939,243,57
4,818,1126,Shamela0011566,53,1046,1375,178,63
4,111,548,Shia002069Vols,66,781,1098,216,61
4,111,489,Shia002069Vols,832,389,650,169,53
4,345,572,Shamela0010517,147,625,861,157,79
4,111,652,JK006838,1474,475,825,239,55
4,168,481,ShamAY0032855,118,1133,1336,129,46
4,818,1126,Shamela0011404,1,763,1092,178,63
4,726,1176,Shamela0003118,35,627,1428,120,14
4,351,542,Shamela0003118,5770,33,218,127,78
4,98,598,Shamela0010480,1367,1128,1513,289,70
4,121,548,Shamela0010627,4,1013,1321,227,64
4,129,548,JK000467,2646,803,1101,203,59
4,98,652,Shamela0006744,635,621,1051,317,70
4,121,481,JK009154,19,1052,1284,170,58
4,342,548,JK008001,5467,1161,1444,148,63
4,98,557,Shamela0026389,356,685,1051,262,69
4,98,652,ShamAY0033632,229,611,1038,258,52
4,342,652,JK006950,1975,125,415,154,50
4,98,652,JK007062,17,81,551,314,64
4,98,652,Shamela0010798,173,816,1253,322,70
4,129,652,Shamela0010798,174,388,791,239,53
4,342,759,Sham19Y0016953Vols,949,348,777,185,46
4,168,652,Masaha004845BK5,4,809,1154,252,62
4,168,652,Sham19Y0014045,247,813,1185,237,56
4,351,510,Shamela0012884,2061,1362,1522,128,97
4,900,1126,Shamela0012884,3266,0,264,147,69
4,351,548,ShamAY0033568,4,608,873,130,57
4,190,652,JK011153,4590,636,1005,220,51
4,168,652,MMS00028,215,1047,1369,239,61
4,129,548,Sham19Y0001729,2581,826,1109,199,58
4,370,652,Shamela0012531,157,0,268,212,93
4,98,652,Masaha004845BK3,1,811,1254,313,67
4,129,652,Shamela0010906,613,984,1325,243,57
4,168,652,ShamAY0034310,7,191,554,273,70
4,426,652,Sham19Y0127654,113,0,216,166,90
4,342,652,JK000381,7673,116,406,154,50
4,738,1126,JK001330,23,17,405,175,46
4,726,1165,Shamela0012406,12,783,968,131,36
4,129,548,Shamela0011026,10,0,306,225,64
4,738,1126,JK000742,262,845,1287,202,51
4,351,702,Shamela0030327,178,13,333,244,85
4,98,652,JK000916,44,755,1205,329,71
4,111,542,JK000916,19916,174,464,180,50
4,98,548,JK000916,21791,199,514,223,60
4,387,652,JK000601,2,0,259,203,94
4,187,548,JK001303,617,1291,1517,161,56
4,168,652,Sham19Y0020647,67,1205,1549,263,67
4,351,515,JK000583,432,1350,1507,118,88
4,126,548,ShamAY0033926,266,203,464,179,50
4,107,652,Shamela0026560,12,607,1051,299,64
4,126,548,JK000483,272,105,363,179,50
4,129,652,Shamela0001524,3238,369,717,248,59
5,940,1528,JK009336,2498,787,1386,441,91
5,930,1303,JK009336,2499,95,548,219,61
5,968,1451,ShamIbadiyya0000193,2696,1230,1580,234,55
5,968,1498,Shamela0022593,1642,1122,1503,158,32
5,930,1498,Shamela0022593,1644,393,891,234,43
5,930,1501,Shamela0022593,1645,220,791,189,33
5,1096,1303,Shamela0022593,1646,1280,1501,121,63
5,988,1528,JK000473,186,0,508,315,67
5,944,1528,Sham19Y0014592,2259,59,686,426,81
5,930,1179,ShamAY0033053,353,1101,1324,130,58
5,930,1528,ShamAY0033053,539,838,1224,219,42
5,959,1528,ShamAY0035035,7927,703,1240,398,85
5,1279,1505,Shamela0095735,961,782,1008,166,88
5,1096,1525,JK007044,6000,1107,1499,160,37
5,1092,1498,JK000467,32,491,1016,176,42
5,976,1498,Tafsir02104,355,371,869,215,38
5,930,1525,Shamela0006879,73,26,442,227,44
5,137,327,Masaha000955Vols,1298,1084,1254,136,88
5,1169,1528,Sham19Y0132973,780,977,1364,103,28
5,153,327,Shamela0001687,7606,433,661,104,47
5,982,1528,Shamela0008473,3205,0,536,413,90
5,137,327,Shamela0023735,1836,1289,1535,127,59
