id,book,alignments,ch_match
Hindawi95926405Vols,0375IkhwanSafa.Rasail,1,158
JK000170,1252IbnCabidinDimashqi.RaddMuhtar,1,160
JK000196,1118CabdHamidShirwani.Hawashi,1,146
JK000244,0507AbuBakrShashi.HilyatCulama,1,167
JK000272,0476AbuIshaqShirazi.MuhadhdhabFiFiqh,1,93
JK000673,0241IbnHanbal.Ashriba,1,154
JK000791,0597IbnJawzi.ZadMasir,1,159
JK001204,1389AghaBuzurgTihrani.TASHNawabighRuwat,1,186
JK005200,0743FakhrDinZaylaci.TabyinHaqaiq,1,158
JK007018,0660SultanCulamaCizzDinDimashqi.TafsirQuran,2,398
JK009266,0800IbnCadilHanbali.LubabFiCulumKitab,1,227
JK009390,1423CabbasAhmadSaqr.JamicAhadith,1,170
JK009396,0450AbuHasanMawardi.NukatWaCuyun,2,393
Kraken22021616363602,0436SharifMurtada.JumalCilm,1,138
Kraken220314171616,0864IbnAhmadJalalDinMahalli.KanzRaghibin,1,169
Kraken220413030905,0786IbnCabdRahmanJamalDinHubayshi.Baraka,1,121
MMS00013,0845Maqrizi.KhabarCanBashar,2,317
Masaha000146Vols,0800IbnAbiHasanDaylami.IrshadQulub,1,114
Masaha0003164Vols,1389AghaBuzurgTihrani.TabaqatAclamShica,1,186
Masaha000554Vols,1450NasirMakarimShirazi.AmthalFiTafsir,2,376
Masaha000626,0381IbnBabawayhSaduq.SilsilatMutunFiqhiyya,4,835
Masaha001044Vols,0690IbnAbiTalibFadilYusufi.KashfRumuz,3,300
Masaha001077,0786ShahidAwwal.Nafaliyya,3,552
Masaha001078Vols,0786ShahidAwwal.QawacidWaFawaid,1,117
Masaha001086Vols,0900MuflihSaymari.TalkhisKhilaf,1,100
Masaha001120,0900MuflihSaymari.KashfIltibas,2,330
Masaha001127Vols,0840QattanHilli.MacalimDin,1,174
Masaha001130Vols,0965ShahidThani.Istiqsa,1,129
Masaha001171Vols,0993MuhaqqiqArdabili.MajmacFaida,5,652
Masaha002028Vols,0581AbuQasimSuhayli.RawdUnuf,1,227
Masaha002301,0664IbnTawus.TarafMinAnbaWaManaqib,1,96
Masaha003390Vols,0436SharifMurtada.Amali,1,220
Masaha004583,0726CallamaHilli.KashfYaqin,2,474
Masaha004722,0726CallamaHilli.Rijal,1,133
Masaha004805,0664IbnTawus.Tahsin,1,157
Noorlib0005343,0612CaliIbnWalidYamani.DamighBatil,1,134
Noorlib0028963,0363QadiNucman.UrjuzaMukhtaraFiImama,1,145
Rafed0000040Vols,1450JacfarSubhani.BuhuthFiMilalWaNihal,5,1620
Rafed0000230Vols,1420JawadShubbar.AdabTaff,1,94
Rafed0000705Vols,1263JacfarSharicatMadarAstarabadi.BarahinQatica,1,96
Rafed0001121,0560AbuMansurTabarsi.Ihtijaj,4,528
Rafed0001713Vols,0988FathAllahKashani.ZubdatTafasir,2,469
Rafed0001792Vols,0730NizamDinNaysaburi.GharaibQuran,2,292
Rafed0002478,0726CallamaHilli.BabHadiCashar,2,292
Rafed0002654Vols,1019NurAllahTustari.IhqaqHaqq,1,172
Rafed0002905Vols,1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir,2,469
Rafed0003257Vols,1431MuhammadHusaynFadlAllah.TafsirMinWahyQuran,5,847
Rafed0003571Vols,0456IbnHazm.FisalFiMilal,1,221
Rafed0003583,0726CallamaHilli.ManahijYaqin,1,191
Rafed0003793Vols,0436SharifMurtada.NafaisTawil,4,754
Rafed0003799Vols,1450NasirMakarimShirazi.NafahatQuran,1,143
