id,book,alignments,ch_match
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,1,368
JK000533,0852IbnHajarCasqalani.IsabaFiTamyiz,1,124
JK000916,0571IbnCasakir.TarikhDimashq,1,325
JK000946,0369AbuShaykhIsbahani.AmthalFiHadith,1,121
JK009390,1423CabbasAhmadSaqr.JamicAhadith,3,618
Masaha000554Vols,1450NasirMakarimShirazi.AmthalFiTafsir,1,332
Masaha001954,0654SibtIbnJawzi.TadhkiratKhawass,1,387
Masaha001978Vols,0955MuhammadKarakiHairi.TasliyatMujalis,1,308
Masaha003292,0336IbnHumamIskafi.MuntakhabAnwar,1,158
Masaha003390Vols,0436SharifMurtada.Amali,3,1030
Masaha003448Vols,0436SharifMurtada.Dharica,2,503
Rafed0000862,1373KashifGhita.JannatMawa,1,150
Rafed0003793Vols,0436SharifMurtada.NafaisTawil,1,300
Sham19Y0017903,0581IbnKharratIshbili.AhkamWusta,1,411
Sham19Y0020561,0804IbnMulaqqin.CujalatMuhtaj,1,129
Sham19Y0023644,0654SibtIbnJawzi.MiratZaman,1,159
Sham19Y0122096,1182IbnIsmacilSancani.Tanwir,1,94
Sham19Y0127677,0911Suyuti.JamicKabir,6,1504
Sham19Y0132524,0656AbuCabbasAnsariQurtubi.Mufhim,1,204
ShamAY0001783,1342MahmudShukriAlusi.Suyuf,1,209
ShamAY0033053,0852IbnHajarCasqalani.MukhtasarZawaidMusnadBazzar,1,419
ShamAY0034435,0705SharafDinDimyatti.NisaRasul,1,161
ShamAY0034447,0842IbnNasirDinDimashqi.JamicAthar,2,244
Shamela0001438,1450DarIftaMisriyya.JamicAhadith,2,465
Shamela0001686,0230IbnSacd.TabaqatKubra,2,237
Shamela0001733,0360Tabarani.MucjamKabir,1,132
Shamela0003118,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,1,281
Shamela0004445,0774IbnKathir.Bidaya,1,415
Shamela0005803,0578IbnBashkuwal.GhawamidAsma,1,361
Shamela0006617,1111CabdMalikCasimi.SamtNujum,1,351
Shamela0009862,0151IbnIshaq.Sira,1,374
Shamela0010480,0643DiyaDinMuqaddasi.AhadithMukhatara,1,402
Shamela0010664,0808MuhammadDamiri.HayatHayawanKubra,1,141
Shamela0011566,0845Maqrizi.Mawaciz,1,110
Shamela0011816,0803IbnMusaJamalDinMalati.MuctasarMinMukhtasar,1,271
Shamela0012031,0597IbnJawzi.SifatSafwa,2,450
Shamela0012406,0597IbnJawzi.Muntazam,1,90
Shamela0012862,0807NurDinHaythami.KashfAstar,1,324
Shamela0012981,0292AbuBakrBazzar.BahrZakhkhar,1,457
Shamela0021481,0395IbnMandahMuhammad.MacrifatSahaba,1,375
Shamela0021593,0794BadrDinZarkashi.BahrMuhit,1,153
Shamela0022547,0321Tahawi.SharhMushkilAthar,1,340
Shia001349Vols,0588IbnShahrAshub.ManaqibAlAbiTalib,1,304
Shia001432Vols,1111Majlisi.BiharAnwar,10,2396
Shia001626Vols,1450MurtadaCaskari.AhadithCaisha,1,151
Shia001764Vols,0676Nawawi.MinhajFiSharhMuslim,1,130
Shia001782Vols,0807NurDinHaythami.MajmacZawaid,2,537
Shia002265Vols,0975MuttaqiHindi.KanzCummal,3,636
Shia002337Vols,0329IbnIbrahimQummi.Tafsir,2,357
Shia002359Vols,0548IbnHasanTabarsi.TafsirMajmacBayan,1,347
Shia002389Vols,1112IbnJumcaHuwayzi.TafsirNurThaqalayn,2,385
Shia002406Vols,1402SayyidTabatabai.TafsirMizan,1,171
Shia003366Vols,1389AghaBuzurgTihrani.DharicaIlaTasanifShica,1,153
Shia003691,0494HakimJushami.TanbihGhafilin,1,180
Shia003732Vols,0942IbnYusufShami.SubulHuda,2,522
Shia004007,0664IbnTawus.BinaMaqalaFatimiyya,1,397
Shia004020,0726CallamaHilli.NahjHaqq,1,96
Shia004039,1173IbnHusaynKhwajuiMazandarani.JamicShatat,2,310
Tafsir04042,1350SultanCaliShahGanabadhi.TafsirBayanSacada,1,309
Zaydiyya0000153,1390MahmudAbuRayya.AdwaCalaSunna,1,527
