id,book,alignments,ch_match
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,3,346
JK000098,1327AhmadIbrahimCisa.TawdihMaqasid,1,199
JK000134,0852IbnHajarCasqalani.TahdhibTahdhib,85,13519
JK000195,0851IbnQadiShuhba.TabaqatShaficiyya,16,2627
JK000201,1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi,4,795
JK000206,0665AbuShama.MukhtasarMuammal,1,137
JK000213,0526IbnAbiYacla.TabaqatHanabila,9,1316
JK000275,0463KhatibBaghdadi.IhtijajBiShafici,1,181
JK000364,1033MarciKarmi.ShahadaZakiyya,2,234
JK000366,0842IbnNasirDinDimashqi.RaddWafir,3,315
JK000417,0927Nucaymi.DarisFiMadaris,4,729
JK000443,0748Dhahabi.MacrifaQurraKibar,3,582
JK000497,0261AbuHasanCijli.MacrifatThiqat,2,226
JK000499,0474IbnKhalafBaji.TacdilWaTajrih,7,717
JK000515,0354IbnHibbanBusti.MashahirCulamaAmsar,4,438
JK000520,0369AbuShaykhIsbahani.TabaqatMuhaddithin,1,344
JK000529,0385Daraqutni.SualatHamza,1,197
JK000532,0748Dhahabi.TadhkiratHuffaz,435,88067
JK000582,0475IbnMakula.IkmalFiRafcIrtiyab,1,116
JK000676,1307Qannawji.AbjadCulum,2,490
JK000732,0446AbuYaclaKhalili.IrshadFiMacrifaCulama,1,78
JK000761,0463KhatibBaghdadi.JamicLiAkhlaqRawiWaAdabSamic,3,419
JK000763,0748Dhahabi.MucjamMuhaddithin,2,266
JK000806BK1,0775IbnAbiWafa.JawahirMudiya,1,97
JK000911,0630IbnAthirCizzDin.Kamil,1,244
JK000916,0571IbnCasakir.TarikhDimashq,47,6981
JK000952,0562Samcani.Ansab,16,2459
JK000990,1338TahirJazairiDimashqi.TawjihNazar,1,108
JK000991,0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah,1,128
JK000995,1182IbnIsmacilSancani.TawdihAfkar,4,610
JK000998,1255Shawkani.BadrTalic,9,2078
JK001233,0764Safadi.ShucurBiCur,1,95
JK001293BK1,0748Dhahabi.MizanIctidal,16,2496
JK001293BK2,0806IbnHusaynNajmDinCiraqi.DhaylMizan,1,147
JK001319,0658IbnAbbar.TakmilaLiSila,2,210
JK001330,0874IbnTaghribirdi.NujumZahira,8,1230
JK001336,0850ShihabDinIbshihi.Mustatraf,1,117
JK003608,0902Sakhawi.DawLamic,1,209
JK003609,0764Safadi.WafiBiWafayat,24,4182
JK007001,0306Wakic.AkhbarQudat,1,123
JK007054,0763IbnMuflihMaqdisi.AdabSharciyya,1,114
JK007063,0597IbnJawzi.Tabsira,1,137
JK007097,0842IbnNasirDinDimashqi.TawdihMushtabih,3,330
JK007099,1233SulaymanSibtIbnCabdWahhab.Taysir,1,107
JK009161,0748Dhahabi.MukhtasarMinDubaythi,1,138
JK009239,0852IbnHajarCasqalani.InbaGhumr,1,160
JK009391,0576AbuTahirSilafi.Tuyurat,1,89
JK011147,0372AbuSacidQayruwani.TahdhibMudawwana,1,119
JK011184,0750IbnTurkamani.JawharNaqi,1,112
