id,book,alignments,ch_match
JK000001,0505Ghazali.IhyaCulumDin,1,104
JK000098,1327AhmadIbrahimCisa.TawdihMaqasid,1,132
JK000130,0303Nasai.SunanSughra,1,128
JK000201,1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi,1,111
JK000216,1120IbnMuhammadBurhanDinDimashqi.BayanWaTacrif,1,87
JK000221,0597IbnJawzi.TahqiqFiAhadithKhilaf,7,1139
JK000271,0804IbnMulaqqin.TuhfatMuhtaj,3,398
JK000272,0476AbuIshaqShirazi.MuhadhdhabFiFiqh,2,330
JK000299,0861IbnHumam.SharhFathQadir,2,305
JK000381,0728IbnTaymiyya.MajmucFatawa,1,131
JK000386,0728IbnTaymiyya.SharhCumdatFiqh,3,411
JK000477,0385Daraqutni.Sunan,3,516
JK000679,0279Tirmidhi.CilalKabir,1,182
JK000691,0307AbuYaclaMawsili.Mucjam,1,147
JK000778,0463IbnCabdBarr.IsticabFiMacrifatAshab,1,142
JK000785,0211CabdRazzaqSancani.Musannaf,1,115
JK000786,0235IbnAbiShayba.Musannaf,2,200
JK000917,0543IbnCarabiIshbili.AhkamQuran,1,201
JK000977,0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim,2,220
JK001293BK1,0748Dhahabi.MizanIctidal,2,284
JK003609,0764Safadi.WafiBiWafayat,1,158
JK005005,0963IbnMuhammadIbnCiraqKanani.TanzihSharica,1,149
JK005008,0682IbnYahyaGhassani.TakhrijAhadithDicaf,4,654
JK006801,0852IbnHajarCasqalani.MatalibCaliya,1,192
JK006897,1206IbnCabdWahhab.Hadith,1,172
JK006919,0502RaghibIsbahani.MuhadaratUdaba,1,97
JK007016,0310IbnAhmadDulabi.KunaWaAsma,1,113
JK007036,0686IbnZakariyaManbiji.LubabFiJamc,4,743
JK007063,0597IbnJawzi.Tabsira,2,148
JK007064,1307Qannawji.RawdaNadiyya,1,91
JK007083,0744IbnCabdHadi.MuharrirFiHadith,1,204
JK007107,0676Nawawi.KhulasatAhkam,1,119
JK007128,0597IbnJawzi.KashfMushkil,1,104
JK007142,0957ShihabDinRamli.HashiyatCumayra,1,131
JK008250Vols,0310Tabari.TahdhibAthar,1,116
JK009150,0643IbnNajjar.DhaylTarikhBaghdad,1,127
JK009324,0449IbnBattalQurtubi.SharhSahihBukhari,62,10709
JK009390,1423CabbasAhmadSaqr.JamicAhadith,1,87
JK009408,0430AbuNucaymIsbahani.MacrifatSahaba,2,393
JK010748,0310IbnCabbasYazidi.Amali,1,186
JK011184,0750IbnTurkamani.JawharNaqi,2,199
Kraken211201162527,1429MustafaSacidKhinn.IkhtilafAthar,1,172
Masaha001120,0900MuflihSaymari.KashfIltibas,1,176
Rafed0002654Vols,1019NurAllahTustari.IhqaqHaqq,1,205
Rafed0003376Vols,0631SayfDinAmidi.AbkarAfkar,1,152
Rafed0003793Vols,0436SharifMurtada.NafaisTawil,1,90
