id,book,alignments,ch_match
JK001493,0292Yacqubi.Tarikh,1,113
JK006907,0659SadrDinBasri.Hamasa,1,85
Kraken220603212436,0421Miskawayh.HikmaKhalida,1,93
Noorlib0038382,0328IbnCabdRabbihi.TabaicNisa,1,83
Sham19Y0017077,0328AbuBakrIbnAnbari.Addad,1,88
Sham19Y0021505,1362AhmadHashimi.JawahirAdab,1,104
Sham19Y0147597,1393MuhammadTahirIbnCashurTunisi.JamharatMaqalat,2,528
ShamAY0032379,0388AbuSulaymanKhattabi.GharibHadith,1,76
ShamAY0035859,1372KurdCali.UmaraBayan,8,2829
Shamela0001687,0711IbnManzurIfriqi.LisanCarab,1,64
Shamela0006039,0537IbnMuhammadNajmDinNasafi.TalibatTalaba,1,91
Shamela0006687,0668IbnAbiUsaybica.CuyunAnba,1,199
Shamela0006896,0429AbuMansurThacalibi.ThimarQulub,1,251
Shamela0006945,0328IbnCabdRabbih.TabaicNisa,1,83
Shamela0008505,0285IbnYazidMubarrad.KamilFiLugha,1,81
Shamela0010428BK1,0500Anonymous.MajmucatRasailJahiz,1,95
Shamela0010428BK2,0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz,51,26984
Shamela0010646,0562IbnHamdun.TadhkiraHamduniyya,1,87
Shamela0010670BK11,0255Jahiz.MadhNabidh,1,548
Shamela0010670BK5,0255Jahiz.MufakharatJawari,1,95
Shamela0010768,0413AbuIshaqHusri.ZahrAdab,1,138
Shamela0012541,0414AbuHayyanTawhidi.AkhlaqWazirayn,1,133
Shamela0012985,0463KhatibBaghdadi.IqtidaCilmCamal,1,71
Shamela0021784,1356MustafaSadiqRafici.TahtaRayatQuran,1,132
Shamela0023789,0328IbnCabdRabbih.CiqdFarid,1,83
Shamela0036543,1255Shawkani.FathRabbaniMinFatawa,1,154
Shamela0037063,1372KurdCali.KhitatSham,1,187
Shia000049Vols,0598IbnIdrisHilli.Sarair,1,94
Shia003636Vols,1371MuhsinAminCamili.AcyanShica,1,92
