id,book,alignments,ch_match
Hindawi014964935,1361CabdAllahHusayn.MasalaYahudiyya,1,136
Hindawi018502737,1383CabbasMahmudCaqqad.Iblis,1,118
Hindawi019272704,1383CabbasMahmudCaqqad.FalsafaQuraniyya,2,667
Hindawi019640759,1423TharwatAbaza.SardQisasi,1,136
Hindawi020642737,1383CabbasMahmudCaqqad.RuhCazimMahatmaGhandi,3,614
Hindawi024957531,1382TahaCabdBaqiSurur.IbnCarabi,23,6602
Hindawi027427314,1382TahaCabdBaqiSurur.Ghazali,1,736
Hindawi028570502Vols,1381SalimHasan.MawsucatMisrQadima,1,136
Hindawi040635716,1390AhmadFuadAhwani.TarbiyaFiIslam,1,198
Hindawi052718095,1366MustafaCabdRazzaq.TamhidTarikhFalsafaIslamiyya,3,703
Hindawi061638096,1361CabdAllahHusayn.TasawwufWaMutasawwifa,3,1076
Hindawi068305130,1372KurdCali.IslamWaHadaraCarabiyya,2,423
Hindawi070930825,1342CabdHayyHasani.ThaqafaIslamiyyFiHind,2,323
Hindawi081316951,1371ZakiMubarak.Tasawwuf,3,528
Hindawi081859390,1450FirasSawwah.MughamaratCaqlUla,1,155
Hindawi086253537,1385AbuCalaCafifi.TasawwufThawraRuhiyya,2,275
Hindawi092731807,1382TahaCabdBaqiSurur.Hallaj,1,255
Hindawi092963020,1373AhmadAmin.ZuhrIslam,3,480
JK000021,0458Bayhaqi.ShucabIman,1,248
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,1,138
JK000028,0728IbnTaymiyya.Istiqama,1,151
JK000069,0751IbnQayyimJawziyya.WabilSayyib,1,96
JK000071,0795IbnRajabHanbali.JamicCulumWaHikam,1,216
JK000080,0656IbnCabdQawiMundhiri.TarghibWaTarhib,5,1279
JK000081,0751IbnQayyimJawziyya.MadarijSalikin,2,202
JK000082,0751IbnQayyimJawziyya.MiftahDarSacada,1,166
JK000083,0751IbnQayyimJawziyya.HadiArwah,1,162
JK000089,0751IbnQayyimJawziyya.HidayatHayara,1,169
JK000094,0751IbnQayyimJawziyya.AclamMuwaqqicin,1,254
JK000110,0256Bukhari.Sahih,7,2281
JK000127,0795IbnRajabHanbali.TakhwifMinNar,1,243
JK000139,0279Tirmidhi.ShamailMuhammadiyya,1,180
JK000140,1420MuhammadNasirDinAlbani.SahihWaDacifSunanTirmidhi,2,572
JK000146,0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya,1,223
JK000159,1044IbnBurhanDinHalabi.SiraHalabiyya,1,246
JK000166,0852IbnHajarCasqalani.FathBari,1,94
JK000330,0728IbnTaymiyya.JawabSahih,2,377
JK000331,1033MarciKarmi.AqawilThiqat,1,184
JK000362,0728IbnTaymiyya.DarTacarud,4,568
JK000373,0728IbnTaymiyya.Nubuwwat,2,270
JK000381,0728IbnTaymiyya.MajmucFatawa,15,3470
JK000385,0728IbnTaymiyya.Istighatha,1,95
JK000465,1255Shawkani.FathQadir,3,498
JK000468,1067HajjiKhalifa.KashfZunun,3,567
JK000473,0219IbnZubayrHumaydi.Musnad,1,417
JK000474,0360Tabarani.MucjamKabir,1,103
JK000475,0303Nasai.SunanKubra,2,988
JK000476,0360Tabarani.MucjamSaghir,1,149
JK000485,0307AbuYaclaMawsili.Musnad,2,334
JK000583,1162IbnMuammadAbuFidaCajluni.KashfKhafa,1,151
JK000599,0360Tabarani.AhadithTiwal,1,135
JK000629,0597IbnJawzi.CilalMutanahiyya,1,128
JK000637,0807NurDinHaythami.MajmacZawaid,3,475
JK000676,1307Qannawji.AbjadCulum,3,582
JK000724,0294IbnNasrMarwazi.TaczimQadrSalat,2,384
JK000735,0303Nasai.CamalYawmWaLayla,2,985
JK000786,0235IbnAbiShayba.Musannaf,1,128
JK000791,0597IbnJawzi.ZadMasir,4,787
JK000883,0360Tabarani.MucjamAwsat,1,82
JK000906,1270ShihabDinAlusi.RuhMacani,1,196
JK000917,0543IbnCarabiIshbili.AhkamQuran,2,371
JK000940,0769IbnCabdAllahTaqiDinShibli.AkamMarjan,3,491
JK000961,1307Qannawji.HusnUswa,1,152
JK001006,0481AnsariHarawi.DhammKalam,1,158
JK001117,0694MuhibbDinTabari.KhulasatSiyar,1,140
JK001140,0768Yafici.MarhamCilalMucdila,1,169
JK001197,1332IbnMuhammadJamalDinQasimi.MawcizatMuminin,1,107
JK001236,0745IbnMuhammadTaqiDinIbnImam.SilahMumin,2,861
JK001248,0471IbnMuhammadIsfaraini.TabsirFiDin,1,297
JK001271,0794BadrDinZarkashi.TadhkiraFiAhadithMashhura,1,157
JK001293BK1,0748Dhahabi.MizanIctidal,1,86
JK001295,0911Suyuti.Itqan,1,301
JK001303,0911Suyuti.KhasaisKubra,1,708
JK001311,0696CumarSunami.NisabIhtisab,1,197
