id,book,alignments,ch_match
AOCP2023090623,0893CamiriHaradi.RiyadMustataba,2,433
Hindawi092024806,1373AhmadAmin.FajrIslam,1,136
JK000132,0311IbnKhuzaymaNaysaburi.Sahih,1,164
JK000465,1255Shawkani.FathQadir,1,237
JK000484,0458Bayhaqi.SunanKubra,1,161
JK000637,0807NurDinHaythami.MajmacZawaid,1,155
JK000911,0630IbnAthirCizzDin.Kamil,1,92
JK000916,0571IbnCasakir.TarikhDimashq,1,486
JK001157,0792IbnCumarTaftazani.SharhMaqasid,1,683
JK001492,0762IbnYusufZaylaci.TakhrijAhadith,1,77
JK006838,0458Bayhaqi.DalailNubuwwa,1,74
JK007004,0558IbnAbiKhayrCimraniYamani.IntisarFiRadd,1,533
JK007065,0488IbnFutuhHumaydi.JamcBaynaSahihayn,1,154
JK008001,0975MuttaqiHindi.KanzCummal,1,482
JK009390,1423CabbasAhmadSaqr.JamicAhadith,1,233
JK010370,0395AbuHilalCaskari.Awail,1,325
JK010552,0390IbnZakariyaNahrawani.JalisSalih,1,310
JK010561,0538JarAllahZamakhshari.RabicAbrar,1,461
Kraken220413203004,0652Mahalli.HadaiqWardiyya,1,506
Masaha000001Vols,0329IbnYacqubKulayni.UsulMinKafi,1,470
Masaha000554Vols,1450NasirMakarimShirazi.AmthalFiTafsir,1,302
Masaha000998Vols,0436SharifMurtada.Rasail,3,1033
Masaha001108Vols,0910IbnAbiJumhurAhsai.CawaliLaali,1,184
Masaha003390Vols,0436SharifMurtada.Amali,1,238
Masaha004568Vols,0449AbuFathKarajiki.KanzFawaid,1,259
Rafed0000040Vols,1450JacfarSubhani.BuhuthFiMilalWaNihal,5,1502
Rafed0000230Vols,1420JawadShubbar.AdabTaff,1,156
Rafed0000705Vols,1263JacfarSharicatMadarAstarabadi.BarahinQatica,2,1105
Rafed0000789,1450MuhammadZaynDin.Tashayyuc,1,194
Rafed0001121,0560AbuMansurTabarsi.Ihtijaj,1,469
Rafed0001617Vols,1323MuhammadCabduh.NahjBalagha,1,478
Rafed0001826,1403HashimMacrufHasani.DirasatFiHadith,1,307
Rafed0003462,0606FakhrDinRazi.QadaWaQadar,1,400
Rafed0003537Vols,1450IbrahimMusawiZanjani.CaqaidImamiyya,1,666
Rafed0003630Vols,0606FakhrDinRazi.MatalibCaliya,1,386
Rafed0003793Vols,0436SharifMurtada.NafaisTawil,3,977
Rafed0003882,1403HashimMacrufHasani.TarikhFiqhJacfari,1,187
Sham19Y0029676,1362CabdQadirIskandarani.MajallatHaqaiq,1,348
Sham19Y0127677,0911Suyuti.JamicKabir,1,405
Sham19Y0145212,1052CabdHaqqDihlawi.LumcatTanqih,1,142
Sham19Y0146127,0748Dhahabi.Muhadhdhab,1,162
ShamAY0034134,0852IbnHajarCasqalani.NataijAfkar,1,164
ShamAY0034646,0840IbnCabdAllahJundariImamMurtada.TabaqatMuctazila,1,524
ShamAY0035035,1205MurtadaZabidi.IthafSada,1,477
ShamAY0037746,0415QadiCabdJabbar.ManiyyaWaAmal,1,263
ShamIbadiyya0000109,1332QutbAtfayyish.SharhNilWaShifaCalil,1,636
ShamIbadiyya0000129,0364AbuHasanBisyawi.Jamic,1,491
ShamIbadiyya0000185,1090KhamisShiqsi.MinhajTalibin,1,484
ShamIbadiyya0000433,1332NurDinSalimi.SharhJamicSahih,1,547
ShamIbadiyya0000438,1088AbuSitta.HashiyatTartib,3,1249
ShamIbadiyya0000760,0510CawtabiSuhari.Diya,1,557
Shamela0001438,1450DarIftaMisriyya.JamicAhadith,1,187
Shamela0001875,0643DiyaDinMaqdisi.SunanWaAhkamCanMustafa,1,162
Shamela0003118,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,1,478
Shamela0005973,1304CabdHayyLaknawi.RafcWaTakmil,1,119
Shamela0010283,0733Nuwayri.NihayatArab,1,97
Shamela0012884,0911Suyuti.DurrManthur,2,309
Shamela0023788,0745MuayyadYahyaIbnHamzaCalawi.TirazLiAsrar,2,479
Shamela0025794,0241IbnHanbal.Musnad,1,156
Shamela0026324,0852IbnHajarCasqalani.IthafMahara,1,77
Shamela0036543,1255Shawkani.FathRabbaniMinFatawa,1,269
Shia000814VolsBK1,1337IbnCabdAllahJundari.TarajimRijalFiSharhAzhar,1,391
Shia000814VolsBK4,1255Shawkani.HawashiCalaSharhAzhar,2,312
Shia001107Vols,1323MuhammadCabduh.SharhNahjBalagha,2,479
Shia001122Vols,0329IbnYacqubKulayni.Kafi,1,486
Shia001136,0381IbnBabawayhSaduq.Tawhid,1,203
Shia001153,0400IbnCaliHarrani.TuhafCuqul,1,224
Shia001171,0508FattalNaysaburi.RawdatWacizin,1,433
Shia001174Vols,1081MuhammadSalihMazandarani.SharhUsulKafi,1,485
Shia001186,1082RaficDinNaini.HashiyaCalaUsulKafi,1,162
Shia001303,0413ShaykhMufid.FusulMukhtara,1,556
Shia001349Vols,0588IbnShahrAshub.ManaqibAlAbiTalib,1,79
Shia001368,0664IbnTawus.TaraifFiMacrifatMadhahib,1,695
Shia001392Vols,0877CaliNabatiCamili.SiratMustaqim,1,185
Shia001416,1098MuhammadTahirShiraziQummi.Arbacina,1,182
Shia001418Vols,1104IbnHasanHurrCamili.FusulMuhimma,1,229
Shia001432Vols,1111Majlisi.BiharAnwar,8,2680
Shia001544Vols,1120CaliKhanMadani.RiyadSalihin,2,322
Shia001553,1200HaydarCaliIbnMuhammadShirwani.ManaqibAhlBayt,1,217
Shia001555Vols,1306HamidHusaynLakhnawi.KhulasatCabaqatAnwar,1,170
Shia001626Vols,1450MurtadaCaskari.AhadithCaisha,1,130
Shia001663Vols,1450MurtadaCaskari.MacalimMadrasatayn,2,233
Shia002185Vols,0656IbnAbiHadid.SharhNahjBalagha,4,1514
Shia002389Vols,1112IbnJumcaHuwayzi.TafsirNurThaqalayn,1,265
Shia002958,1120CaliKhanMadani.DarajatRafica,1,349
Shia003636Vols,1371MuhsinAminCamili.AcyanShica,2,355
Shia003702,0652IbnTalhaKamalDinNasibi.MatalibSaul,1,453
Shia003707Vols,0693IbnAbiFathIrbili.KashfGhumma,1,367
Shia004014Vols,1450Milani.SharhMinhajKaramaLiHilli,1,352
Shia004016,0726CallamaHilli.KashfMurad,2,691
Shia004038,1124IbnCabdFattahTunukabuni.SafinatNajat,1,355
Shia004092Vols,1411SayyidMarcashi.SharhIhqaq,1,672
Shia004456Vols,1450Milani.NafahatAzhar,2,407
Shia20200618,0406SharifRadi.NahjBalagha,1,479
Tafsir04040,1050SadrDinShirazi.Tafsir,3,698
Tafsir04056,1402SayyidTabatabai.TafsirMizan,1,348
Zaydiyya0000015,1407CaliIbnMuhammadCujri.MiftahSacada,2,608
Zaydiyya0000017,1350IbnCaqilCalawi.NasaihKafiya,2,353
Zaydiyya0000022,1373AhmadShamat.ThimarMujtanat,1,181
Zaydiyya0000035,1111IbnNasirMuhalla.MatmahAmal,1,178
Zaydiyya0000037Vols,1055AhmadSharafi.AliMudia,1,85
Zaydiyya0000038,1061AhmadHabisYamani.IdahFiSharhMisbah,1,287
Zaydiyya0000039,1351MuhammadMudacis.KashifAmin,1,569
Zaydiyya0000040,0494IbnSacidIbnKarama.RisalatIblis,1,173
Zaydiyya0000044,0566MutawakkilAhmad.HaqaiqMacrifa,1,511
Zaydiyya0000046,1375AhmadIbnHasanQasimi.CilmWasim,2,327
Zaydiyya0000059,1221HusaynSiyaghi.ManhajMunir,1,588
Zaydiyya0000063,0839MahdiAhmadIbnYahya.BahrZakhkhar,4,916
Zaydiyya0000075BK10,0246QasimRassi.UsulCadlWaTawhid,1,223
Zaydiyya0000075BK11,0246QasimRassi.FusulFiTawhid,1,581
Zaydiyya0000076BK16,0298HadiIlaHaqqYahya.RaddCalaHasan,1,147
Zaydiyya0000080,1431BadrDinHuthi.TahrirAfkar,1,134
Zaydiyya0000086,1428MajdDinMuayyadi.Tuhaf,4,829
Zaydiyya0000090BK1,0916IbnFanad.MaathirAbrar,1,146
Zaydiyya0000091,0822HadiIbnWazir.HidayatRaghibin,1,161
Zaydiyya0000098,1428MajdDinMuayyadi.LawamicAnwar,4,862
Zaydiyya0000130,1083NasirIbrahimMuayyadi.IsbahCalaMisbah,1,679
Zaydiyya0000142,1390CabdHusaynAmini.Ghadir,1,164
Zaydiyya0000149,1450MuhammadIbnHasanCujri.IclamAclam,1,429
Zaydiyya0000211,1450AhmadMuhammadHadi.Tarikh,3,714
Zaydiyya0000215,1039IbnLuqman.KashifLiDhawiCuqul,1,173
Zaydiyya0000217,1450Anonymous.Huquq,2,350
Zaydiyya0000219,0316MuhammadMurtada.Fiqh,1,173
Zaydiyya0000220,1450CaliKuraniCamili.AlfSual,1,191
Zaydiyya0000229,0424AbuTalibYahyaHaruni.Amali,1,147
Zaydiyya0000263,0780IbnHasanQurashi.MinhajMuttaqin,2,667
Zaydiyya0000267,0411MuayyadAhmad.Tajrid,1,77
Zaydiyya0000333,1450SafaCamiri.MutawakkilFiYaman,3,1226
Zaydiyya0000343,1198AhmadIbnSalahKhatib.AmanMinMasailThaman,3,756
Zaydiyya0000352,0424AbuTalibYahyaHaruni.TaysirMatalib,1,146
Zaydiyya0000398,1190IbnQasimShuhari.BulughArab,2,800
Zaydiyya0000408,0246QasimRassi.KitabFihiMasail,1,174
Zaydiyya0000413Vols,1115IshaqIbnMuhammadCabdi.Ihtiras,1,443
Zaydiyya0000454,1450MuhammadSadiqNajmi.AdwaCalaSahihayn,2,319
Zaydiyya0000459,1450CabdAllahHamidDin.Zaydiyya,1,310
Zaydiyya0000474,1450MajalisAlMuhammad.MaqalatIslamiyya,8,1619
