id,book,alignments,ch_match
AOCP20240501183,0524IbnTumart.AcazzMaYutlab,7,1387
AOCP20251104036,0509AbuFarajArmanazi.Majmuc,1,134
AOCP20251104097Vols,0800AhmadIbnUghuzDanishmandAqshahri.Intiqad,2,332
AOCP20251104103Vols,0854IbnDiyaMakki.DiyaMacnawi,5,1301
AOCP20251104112,0899ZarruqShihabDinFasi.SharhCalaMuqaddimaWaghlisiyya,1,205
AOCP20251104140,1110CabdSalamQadiri.NasimMucabbiq,1,363
AOCP20251104143,1143CabdGhaniNabulusi.TahrikIqlid,2,490
AOCP20251104145Vols,1144IbnZikriFasi.SharhNasiha,2,254
DARE00024,0595IbnRushdHafid.SharhMaBacdTabica,1,143
Hindawi017160604,1375AhmadFaridRifaci.CasrMamun,2,318
Hindawi018502737,1383CabbasMahmudCaqqad.Iblis,1,315
Hindawi048649370,1450YumnaTarifKhuli.FalsafatKarlBuber,1,142
Hindawi050259706,1362AhmadHashimi.MizanDhahab,1,252
Hindawi075352027,1370NabawiyyaMusa.MutalacaCarabiyya,1,97
Hindawi079072819,1339MuhammadDiyab.TarikhAdabLughaCarabiyya,1,372
Hindawi086253537,1385AbuCalaCafifi.TasawwufThawraRuhiyya,1,114
Hindawi095926405Vols,0375IkhwanSafa.Rasail,3,730
Hindawi095927048,1343RafiqCazm.RisalaFiBayanKayfiyyatIntisharAdyan,1,179
JK000001,0505Ghazali.IhyaCulumDin,7,1372
JK000005,0463IbnCabdBarr.JamicBayan,66,13258
JK000011,0256Bukhari.AdabMufrad,1,121
JK000021,0458Bayhaqi.ShucabIman,2,292
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,2,711
JK000030,0581IbnKharratIshbili.CaqibaFiDhikrMawt,1,177
JK000062,0751IbnQayyimJawziyya.DaWaDawa,1,375
JK000071,0795IbnRajabHanbali.JamicCulumWaHikam,2,510
JK000080,0656IbnCabdQawiMundhiri.TarghibWaTarhib,9,2081
JK000081,0751IbnQayyimJawziyya.MadarijSalikin,3,785
JK000082,0751IbnQayyimJawziyya.MiftahDarSacada,3,919
JK000098,1327AhmadIbrahimCisa.TawdihMaqasid,1,169
JK000110,0256Bukhari.Sahih,2,308
JK000125,0676Nawawi.Tibyan,1,92
JK000130,0303Nasai.SunanSughra,2,399
JK000138,0911Suyuti.TadribRawi,1,144
JK000140,0279Tirmidhi.Sunan,2,594
JK000141,0273IbnMaja.Sunan,1,115
JK000142,0275AbuDawudSijistani.Sunan,1,88
JK000165,1255Shawkani.NaylAwtar,4,628
