id,book,alignments,ch_match
AOCP20240501183,0524IbnTumart.AcazzMaYutlab,2,509
AOCP20251104145Vols,1144IbnZikriFasi.SharhNasiha,1,129
JK000021,0458Bayhaqi.ShucabIman,6,1070
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,4,848
JK000024,0458Bayhaqi.FadailAwqat,1,236
JK000033,0246HusaynMarwazi.BirrWaSila,1,138
JK000080,0656IbnCabdQawiMundhiri.TarghibWaTarhib,3,454
JK000085,0243HannadIbnSari.Zuhd,1,129
JK000110,0256Bukhari.Sahih,4,652
JK000122,0456IbnHazm.IhkamFiUsulAhkam,1,166
JK000123,1182IbnIsmacilSancani.SubulSalam,1,109
JK000130,0303Nasai.SunanSughra,3,381
JK000132,0311IbnKhuzaymaNaysaburi.Sahih,2,421
JK000135,0463KhatibBaghdadi.KifayaFiCilmRiwaya,2,280
JK000137,0676Nawawi.MinhajFiSharhMuslim,1,132
JK000140,0279Tirmidhi.Sunan,4,671
JK000141,0273IbnMaja.Sunan,5,949
JK000142,0275AbuDawudSijistani.Sunan,5,907
JK000146,0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya,1,101
JK000147,0204Shafici.Umm,1,123
JK000148,1051IbnYunusBuhutiHanbali.KashshafQinac,1,139
JK000154,0620IbnQudamaMaqdisi.Mughni,2,348
JK000165,1255Shawkani.NaylAwtar,2,277
JK000166,0852IbnHajarCasqalani.FathBari,3,338
JK000175,1255Shawkani.DarariMudiyya,1,97
JK000190,1051IbnYunusBuhutiHanbali.RawdMurbic,1,157
JK000201,1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi,1,134
JK000216,1120IbnMuhammadBurhanDinDimashqi.BayanWaTacrif,1,159
JK000222,0595IbnRushdHafid.BidayatMujtahid,1,104
JK000227,0240SahnunIbnSacid.MudawwanaKubra,2,238
JK000272,0476AbuIshaqShirazi.MuhadhdhabFiFiqh,1,138
JK000298,1031CabdRaufMunawi.FaydQadir,2,258
JK000312,0840ShihabDinBusiri.MisbahZujaja,2,343
JK000365,0728IbnTaymiyya.MinhajSunna,1,157
JK000415,0789IbnMuhammadKhuzaci.TakhrijDalalat,1,235
JK000435,0211CabdRazzaqSancani.Tafsir,1,156
JK000436,0911Suyuti.LubabNuqul,1,125
JK000448,0562Samcani.AdabImla,1,223
JK000465,1255Shawkani.FathQadir,2,349
JK000467,0405HakimNaysaburi.Mustadrak,4,693
JK000469,0321Tahawi.SharhMacaniAthar,2,272
JK000470,0204AbuDawudTayalisi.Musnad,2,498
JK000471,0762IbnYusufZaylaci.NasbRaya,2,222
JK000473,0219IbnZubayrHumaydi.Musnad,4,740
JK000474,0360Tabarani.MucjamKabir,4,726
JK000475,0303Nasai.SunanKubra,7,1269
JK000476,0360Tabarani.MucjamSaghir,1,391
JK000477,0385Daraqutni.Sunan,1,154
JK000479,0238IbnRahawayh.Musnad,1,213
JK000480,0454Qudaci.MusnadShihab,2,420
JK000481,0287IbnAbiCasim.AhadWaMathani,2,519
JK000483,0282IbnAbiUsamaTamimi.BughyaBahith,1,282
JK000484,0458Bayhaqi.SunanKubra,13,2737
JK000485,0307AbuYaclaMawsili.Musnad,1,149
JK000486,0249CabdIbnHamid.MuntakhabMinMusnad,1,160
JK000494,0204Shafici.Musnad,2,367
JK000508,0643DiyaDinMaqdisi.FadailBaytMaqdis,1,168
JK000520,0369AbuShaykhIsbahani.TabaqatMuhaddithin,4,791
JK000532,0748Dhahabi.TadhkiratHuffaz,2,360
JK000566,0303IbnSufyanNasawi.Arbacuna,1,151
JK000568,0181IbnMubarak.Musnad,1,129
JK000576,0335IbnKulaybShashi.Musnad,2,357
JK000583,1162IbnMuammadAbuFidaCajluni.KashfKhafa,1,121
JK000585,0463IbnCabdBarr.TamhidMuwatta,3,596
JK000593,0262IbnCasimIsbahani.Juz,1,136
JK000617,0463KhatibBaghdadi.TaliTalkhisMutashabih,1,122
JK000624,0414AbuQasimRazi.Fawaid,1,188
JK000629,0597IbnJawzi.CilalMutanahiyya,1,106
JK000637,0807NurDinHaythami.MajmacZawaid,2,472
JK000641,0852IbnHajarCasqalani.SilsilatDhahab,1,118
JK000643,0477BibiHarawiyya.Juz,1,178
JK000671,0620IbnQudamaMaqdisi.MutahabbinFiLlah,1,196
JK000675,0360Tabarani.Duca,1,146
JK000677,0204Shafici.SunanMathura,1,255
JK000682,0327IbnAbiHatimRazi.CilalHadith,1,85
JK000707,0807NurDinHaythami.MawaridZaman,1,118
JK000724,0294IbnNasrMarwazi.TaczimQadrSalat,1,167
JK000725,0351IbnQanic.MucjamSahaba,1,228
JK000732,0446AbuYaclaKhalili.IrshadFiMacrifaCulama,1,337
JK000733,0458Bayhaqi.ArbacunaSughra,1,166
JK000735,0303Nasai.CamalYawmWaLayla,1,263
JK000736,0430AbuNucaymIsbahani.MusnadAbiHanifa,2,238
JK000761,0463KhatibBaghdadi.JamicLiAkhlaqRawiWaAdabSamic,1,203
JK000763,0748Dhahabi.MucjamMuhaddithin,2,518
JK000764,0418HibatAllahLalikai.SharhUsulIctiqad,1,231
JK000779,0728IbnTaymiyya.AhadithCawaliMinIbnCarafa,1,345
JK000786,0235IbnAbiShayba.Musannaf,5,985
JK000787BK2,0884AbuIshaqIbnMuflih.MubdicFiSharhMuqnic,1,140
JK000791,0597IbnJawzi.ZadMasir,1,107
JK000883,0360Tabarani.MucjamAwsat,4,943
JK000913,0676Nawawi.Majmuc,1,169
JK000916,0571IbnCasakir.TarikhDimashq,18,3091
JK000918,0369AbuShaykhIsbahani.AkhlaqNabi,1,110
JK000943,0364IbnSunniDinawari.CamalYawmWaLayl,1,207
JK000977,0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim,2,241
JK001006,0481AnsariHarawi.DhammKalam,1,126
JK001031,0852IbnHajarCasqalani.ImtacBiArbacin,2,370
JK001103,0774IbnMuhammadShamsDinIbnMawsili.HusnSuluk,1,243
JK001207,0574ShuhdaBintAhmad.Cumda,1,278
JK001274,0369AbuShaykhIsbahani.Tawbikh,1,181
JK001297,0509IbnShahridarDaylami.Firdaws,1,83
JK001429,0643DiyaDinMaqdisi.FadailAcmal,1,199
JK001503,0463IbnCabdBarr.IstidhkarJamic,4,586
JK006800,0224QasimIbnSallam.Amwal,1,255
JK006801,0852IbnHajarCasqalani.MatalibCaliya,1,185
JK006838,0458Bayhaqi.DalailNubuwwa,2,414
JK006897,1206IbnCabdWahhab.Hadith,1,242
JK007006,1031CabdRaufMunawi.TaysirBiSharh,1,111
JK007007,0197IbnWahbQurashi.JamicFiHadith,2,324
JK007043,0321Tahawi.SharhMushkilAthar,2,510
JK007044,1014MullaCaliQari.MirqatMafatih,1,138
JK007045,0741KhatibTabrizi.MishkatMasabih,1,199
JK007048,0317AbuQasimBaghawi.HadithMuscab,1,173
JK007049,0235IbnAbiShayba.Musnad,1,342
JK007063,0597IbnJawzi.Tabsira,1,212
JK007064,1307Qannawji.RawdaNadiyya,1,141
JK007065,0488IbnFutuhHumaydi.JamcBaynaSahihayn,1,253
JK007070,0974IbnHajarHaytami.Zawajir,3,550
JK007082,0333IbnMarwanDinawari.MujalasaWaJawahirCilm,1,140
JK007097,0842IbnNasirDinDimashqi.TawdihMushtabih,2,309
JK007116,0806IbnHusaynZaynDinCiraqi.TaqribAsanid,1,123
JK007117,0806IbnHusaynZaynDinCiraqi.TarhTarthib,1,124
JK008001,0975MuttaqiHindi.KanzCummal,6,931
JK008250Vols,0310Tabari.TahdhibAthar,2,389
JK009141,0581IbnKharratIshbili.AhkamSharciyya,3,428
JK009150,0643IbnNajjar.DhaylTarikhBaghdad,1,374
JK009152,0510IbnMascudBaghawi.SharhSunna,5,702
JK009153,0354IbnCabdAllahBazzaz.Fawaid,2,319
JK009154,0696IbnZahiri.Mashyakha,1,236
JK009158,0360AbuBakrAjurri.Sharica,4,628
JK009185,0430AbuNucaymIsbahani.ImamaWaRaddCalaRafida,1,225
JK009226,0499MurshidYahyaIbnShajari.Amali,2,359
JK009274,0911Suyuti.FathKabir,2,256
JK009313,0942IbnYusufShami.SubulHuda,3,608
JK009333,0899ZarruqShihabDinFasi.NasihaKafiya,1,120
JK009336,0606IbnAthirMajdDin.JamicUsul,2,488
JK009390,1423CabbasAhmadSaqr.JamicAhadith,6,891
JK009391,0576AbuTahirSilafi.Tuyuriyyat,1,144
JK010552,0390IbnZakariyaNahrawani.JalisSalih,1,199
JK011153,0682CabdRahmanIbnQudama.SharhKabir,2,359
JK011584,0331IbnMukhalladCattar.Fawaid,1,187
JK011593,0845Maqrizi.MukhtasarQiyamLayl,1,72
Kraken220413202218,0597IbnJawzi.MinhajQasidin,1,127
Kraken230110004547,0622IbnBadrDiyaDinMawsili.JamcBaynSahihayn,2,453
MMS00008,0843IbnKhatibNasiriyya.DurrMuntakhab,2,369
Masaha004231Vols,0885IbnFahd.DurrKamin,2,485
PV2024060602,1450MultipleAuthors.KutubSitta,26,4435
Rafed0002209Vols,0832TaqiFasi.CiqdThamin,1,418
Rafed0002654Vols,1019NurAllahTustari.IhqaqHaqq,2,305
Sham19Y0001729,0739CalaDinIbnBalban.Ihsan,8,1615
Sham19Y0006684,0474IbnKhalafBaji.MuntaqaSharhMuwatta,4,612
Sham19Y0009382,0799IbnShaykha.ShicarAbrar,1,415
Sham19Y0013241,0606IbnAthirMajdDin.Shafi,3,509
Sham19Y0013252,0804IbnMulaqqin.Tawdih,1,162
Sham19Y0013572,0560WazirIbnHubayraShaybani.Ifsah,2,202
Sham19Y0013605,0786ShamsDinKirmani.Kawakib,2,377
Sham19Y0013667,0855BadrDinCayni.NukhabAfkar,2,309
Sham19Y0014119,0510IbnMascudBaghawi.MasabihSunna,2,356
Sham19Y0014299,0911Suyuti.CuqudZabarjad,1,93
Sham19Y0014309,1182IbnIsmacilSancani.Tahbir,4,691
Sham19Y0014592,1061NajmDinGhazzi.HusnTanabbuh,1,211
Sham19Y0014827,0825IbnNurDin.TaysirBayan,1,92
Sham19Y0016584,0893IbnIsmacilShihabDinKurani.KawtharJari,4,679
Sham19Y0016684,0827BadrDinDamaminiMakhzumi.MasabihJamic,1,162
Sham19Y0016946,0388AbuSulaymanKhattabi.AclamHadith,3,410
Sham19Y0016976,0727MuzhiriZaydani.Mafatih,1,218
Sham19Y0017063,0803SadrDinMunawi.KashfManahij,2,382
Sham19Y0017535,0909IbnMabrid.Nihaya,2,293
Sham19Y0017616,0656IbnCabdQawiMundhiri.MukhtasarSahihMuslim,1,242
Sham19Y0017729,0581IbnKharratIshbili.AhkamSughra,1,150
Sham19Y0017747,1119IbnMuhammadMaghribi.BadrTamam,2,211
Sham19Y0017791,0854IbnMalak.SharhMasabih,2,355
Sham19Y0017817,0561CabdQadirJilani.Ghunya,1,219
Sham19Y0018103,0831ShamsDinBirmawi.Lamic,4,645
Sham19Y0018106,0926ZakariyyaAnsari.MinhatBari,3,425
Sham19Y0018144,0316AbuCawana.Mustakhraj,5,846
Sham19Y0018176,0911Suyuti.Tawshih,4,694
Sham19Y0018272,1070MuhammadKibrit.SirajMunir,1,110
Sham19Y0018285,0513AbuWafaIbnCaqil.Funun,1,285
Sham19Y0020591,1138IbnCabdHadiNurDinSindi.FathWadud,6,950
Sham19Y0020638,0581IbnKharratIshbili.JamcBaynSahihayn,1,242
Sham19Y0020642,1377AhmadMuhammadShakir.JamharatMaqalat,1,132
Sham19Y0020882,1450KhalidRibat.JamicIbnHanbalAdabWaZuhd,1,117
Sham19Y0020944,0656IbnCabdQawiMundhiri.MukhtasarSunanAbiDawud,1,166
Sham19Y0023625,1057IbnCallan.FutuhatRabbaniyya,1,258
Sham19Y0023644,0654SibtIbnJawzi.MiratZaman,1,118
Sham19Y0035453,0814IbnNahhas.TanbihGhafilin,1,86
Sham19Y0122096,1182IbnIsmacilSancani.Tanwir,1,135
Sham19Y0122257,0743SharafDinTibi.SharhMishkat,1,221
Sham19Y0122406,0544QadiCiyad.IkmalMuclim,3,408
Sham19Y0123510,0623AbuQasimRafici.SharhMusnadShafici,1,126
Sham19Y0123581,0564CabdKhaliqIbnAsadHanafi.Mucjam,2,567
Sham19Y0123665,0543IbnCarabiIshbili.MasalikFiSharhMuwatta,1,132
Sham19Y0127677,0911Suyuti.JamicKabir,6,940
Sham19Y0127700,0797IbnCaquli.Rasf,1,248
Sham19Y0131521,0844IbnHusaynIbnRaslanRamli.SharhSunanAbiDawud,6,1060
Sham19Y0132524,0656AbuCabbasAnsariQurtubi.Mufhim,1,152
Sham19Y0132973,1188ShamsDinSaffarini.BuhurZakhira,1,222
Sham19Y0146127,0748Dhahabi.Muhadhdhab,6,1038
Sham19Y0148271,0597IbnJawzi.JamicMasanid,9,1764
ShamAY0032750,0465IbnMuhtadi.Mashyakha,1,134
ShamAY0032765,0465IbnMuhtadi.Fawaid,1,310
ShamAY0032768,0649AbuHasanShafici.FawaidMadaniyya,1,239
ShamAY0032770,0745AbuHayyanGharnati.HadithShuyukhBaghdad,1,322
ShamAY0032780,0643IbnCisaMaqdisi.SiratJarir,1,184
ShamAY0032781,0408IbnIbrahimJurjani.Amali,4,922
ShamAY0032826,0852IbnHajarCasqalani.GharaibMinMusannadFirdaws,1,211
ShamAY0032834,0596IbnKulaybHarrani.Mashyakha,1,323
ShamAY0032837,0621IbnSirma.Arbacun,1,164
ShamAY0032849,0525AbuQasimIbnHusayn.Amali,1,124
ShamAY0032921,0389Makhladi.Fawaid,1,157
ShamAY0032925,0414AbuZakariyaMuzakki.Fawaid,1,138
ShamAY0032947BK1,0579AbuTalibKattani.Imla,1,136
ShamAY0032955,0379IbnMuzaffarBazzaz.MuntaqaMinHadithIbnCammar,1,119
ShamAY0033538,0734IbnSayyidNas.AhadithCawal,1,141
ShamAY0033589,0842IbnNasirDinDimashqi.MajlisFiFadlYawmCarafa,1,200
ShamAY0033592,0197IbnWahbQurashi.Musnad,2,373
ShamAY0033632,0492IbnMurajjaMaqdisi.FadailBaytMaqdis,1,178
ShamAY0033672,0427JuriNaysaburi.QawaricQuran,1,148
ShamAY0033673,0739Birzali.Juz,1,151
ShamAY0033674,0832TaqiFasi.ArbacunHadithan,1,295
ShamAY0033698,0277MuhammadHunayni.MusnadAnasIbnMalik,2,500
ShamAY0033910,0911Suyuti.SharhSunanNasai,1,249
ShamAY0033926,0807NurDinHaythami.BughyatBahith,1,279
ShamAY0033943,0522IbnKhusrawBalkhi.MusnadAbiHanifa,4,866
ShamAY0033944,0340AbuMuhammadHarithi.MusnadAbiHanifa,3,721
ShamAY0033975,0702IbnDaqiqCidQushayri.IlmamBiAhadith,1,133
ShamAY0034005,0517AbuNucaymHaddadIsbahani.JamicSahihayn,4,763
ShamAY0034015,0826IbnCiraqi.Mustafad,1,105
ShamAY0034080,0619IbnCabdWahidGhafiqi.LamahatAnwar,1,117
ShamAY0034122,0665AbuMuayyadKhwarazmi.JamicMasanid,3,621
ShamAY0034134,0852IbnHajarCasqalani.NataijAfkar,2,597
ShamAY0034282,0319IbnMundhirNaysaburi.AwsatFiSunan,2,394
ShamAY0034338,0597IbnJawzi.AkhbarNisa,1,112
ShamAY0034569,0637IbnDubaythi.DhaylTarikhBaghdad,1,245
ShamAY0034815,0911Suyuti.BudurSafira,1,130
ShamAY0035246,0265SacdanIbnNasr.AwwalMinHadithSacdan,1,95
ShamAY0035884,0230IbnSacd.TabaqatKubra,3,486
ShamAY0035950,0911Suyuti.Shafi,2,324
ShamAY0036182,1014MullaCaliQari.Rasail,1,230
ShamAY0037387,0597IbnJawzi.WafaBiAhwalMustafa,1,127
Shamela0000041,0510IbnMascudBaghawi.Tafsir,1,146
Shamela0000140,1057IbnCallan.DalilFalihin,1,165
Shamela0000338,0251IbnZanjawayh.Amwal,2,464
Shamela0000432,1450DarIftaMisriyya.FatawaDarIfta,1,178
Shamela0000736,0463KhatibBaghdadi.TarikhBaghdad,10,2263
Shamela0000782,1420MuhammadNasirDinAlbani.SahihWaDacifSunanTirmidhi,4,518
Shamela0000894,1450MawqicIslam.Fatawa,1,86
Shamela0001349,0718AbuIshaqWatwat.GhurarKhasais,1,120
Shamela0001360,0386IbnCumarHarbi.FawaidMuntaqa,1,136
Shamela0001438,1450DarIftaMisriyya.JamicAhadith,8,1207
Shamela0001442,0388AbuSulaymanKhattabi.MacalimSunan,1,115
Shamela0001449,0620IbnCisaAzdiQurtubi.InjadFiAbwabJihad,1,134
Shamela0001727,0261Muslim.Sahih,5,898
