id,book,alignments,ch_match
JK000001,0505Ghazali.IhyaCulumDin,1,205
JK000021,0458Bayhaqi.ShucabIman,1,160
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,1,112
JK000130,0303Nasai.SunanSughra,1,183
JK000139,0279Tirmidhi.ShamailMuhammadiyya,1,194
JK000141,0273IbnMaja.Sunan,1,277
JK000312,0840ShihabDinBusiri.MisbahZujaja,1,233
JK000424,0385IbnShahin.NasikhHadithWaMansukhuh,1,147
JK000474,0360Tabarani.MucjamKabir,4,535
JK000481,0287IbnAbiCasim.AhadWaMathani,1,173
JK000483,0282IbnAbiUsamaTamimi.BughyaBahith,1,167
JK000484,0458Bayhaqi.SunanKubra,3,501
JK000485,0307AbuYaclaMawsili.Musnad,1,344
JK000486,0249CabdIbnHamid.MuntakhabMinMusnad,1,159
JK000532,0748Dhahabi.TadhkiratHuffaz,1,108
JK000585,0463IbnCabdBarr.TamhidMuwatta,1,190
JK000588,0270IbnCaffanKufi.AmaliWaQiraa,1,95
JK000606,0254MuammalIbnIhab.JuzMuammal,1,167
JK000630,0287IbnAbiCasim.Sunna,1,135
JK000679,0279Tirmidhi.CilalKabir,1,102
JK000771,0360Ramhurmuzi.MuhaddithFasil,1,149
JK000883,0360Tabarani.MucjamAwsat,1,159
JK000916,0571IbnCasakir.TarikhDimashq,6,896
JK007001,0306Wakic.AkhbarQudat,1,118
JK007045,0741KhatibTabrizi.MishkatMasabih,1,114
JK008001,0975MuttaqiHindi.KanzCummal,1,90
JK008250Vols,0310Tabari.TahdhibAthar,1,168
JK009146,0628IbnQattanFasi.BayanWahm,1,134
JK009336,0606IbnAthirMajdDin.JamicUsul,1,114
JK009390,1423CabbasAhmadSaqr.JamicAhadith,1,98
JK009408,0430AbuNucaymIsbahani.MacrifatSahaba,2,304
Masaha004651,0965ShahidThani.KashfRiba,1,190
PV2024060602,1450MultipleAuthors.KutubSitta,2,460
Sham19Y0018315,0911Suyuti.ZiyadatCalaMawducat,1,192
Sham19Y0038171,1205MurtadaZabidi.TakhrijAhadithIhyaCulumDin,1,162
Sham19Y0127677,0911Suyuti.JamicKabir,1,95
Sham19Y0146127,0748Dhahabi.Muhadhdhab,1,147
Sham19Y0148271,0597IbnJawzi.JamicMasanid,1,193
Sham19Y0149213,0748Dhahabi.TadhhibTahdhib,1,240
ShamAY0032870,0487AbuQasimMasisi.HadithSabuni,1,149
ShamAY0033567,0423AbuQasimHurfi.Amali,1,92
ShamAY0033576,0414HilalHaffar.Juz,1,210
ShamAY0033910,0911Suyuti.SharhSunanNasai,1,183
ShamAY0033975,0702IbnDaqiqCidQushayri.IlmamBiAhadith,2,272
ShamAY0035884,0230IbnSacd.TabaqatKubra,1,100
ShamIbadiyya0000109,1332QutbAtfayyish.SharhNilWaShifaCalil,1,227
Shamela0000767,0456IbnHazm.MuhallaBiAthar,1,144
Shamela0001341,1420MuhammadNasirDinAlbani.SahihAdabMufrad,1,222
Shamela0001524,0845Maqrizi.ImtacAsmac,1,289
Shamela0002569,1014MullaCaliQari.JamcWasail,1,78
Shamela0003722,0742Mizzi.TahdhibKamal,1,269
Shamela0005416,0584IbnMunqidhShayzari.ManazilWaDiyar,1,145
Shamela0006739,0771TajDinSubki.TabaqatShaficiyyaKubra,1,219
Shamela0008241,0281IbnAbiDunya.DhammGhiba,1,300
Shamela0008623,1450Anonymous.MiatHadithSaqitaMinSunanKubra,1,188
Shamela0009082,0385Daraqutni.CilalWarida,1,143
Shamela0009567,0807NurDinHaythami.GhayatMaqsad,1,180
Shamela0009810,1138IbnCabdHadiNurDinSindi.HashiyaCalaIbnMajah,1,275
Shamela0010480,0643DiyaDinMaqdisi.AhadithMukhatara,1,192
Shamela0010798,0660IbnCadim.BughyatTalab,1,197
Shamela0012415,0458Bayhaqi.SunanSaghir,1,220
Shamela0012735,0643DiyaDinMaqdisi.NahyCanSabbAshab,1,143
Shamela0012862,0807NurDinHaythami.KashfAstar,1,161
Shamela0012884,0911Suyuti.DurrManthur,1,199
Shamela0012981,0292AbuBakrBazzar.BahrZakhkhar,3,405
Shamela0013039,0281IbnAbiDunya.Samt,1,298
Shamela0013041,0322AbuJacfarCuqayli.DucafaKabir,1,98
Shamela0013174,0211CabdRazzaqSancani.Musannaf,2,405
Shamela0021315,0432IbnMuhammadNasafi.FadailQuran,1,175
Shamela0021476,0387IbnSamcunBaghdadi.Amali,2,430
Shamela0021481,0395IbnMandaMuhammad.MacrifatSahaba,1,202
Shamela0021809,0774IbnKathir.JamicMasanid,2,244
Shamela0023700,0630IbnAthirCizzDin.UsdGhaba,2,250
Shamela0025794,0241IbnHanbal.Musnad,2,277
Shamela0026389,0771TajDinSubki.MucjamShuyukh,1,203
Shamela0026566,0459IbnMuhammadDimashqi.Fawaid,4,904
Shamela0030594Vols,0705SharafDinDimyati.MucjamShuyukh,1,81
Shamela0030617Vols,0600CabdGhaniMaqdisi.MisbahFiCuyunSihah,1,222
Shamela0096239,1041BurhanDinMaliki.BahjaMahafil,1,96
Shia000151,0965ShahidThani.Rasail,1,173
Shia004042Vols,1209MuhammadMahdiNaraqi.JamicSacadat,1,167
